D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT_개별국제교통비제외2,Q8a03,Q8a12,Q8_1a1,Q8_1a2,Q8_1a3,동행자유형,국가명,웰니스참여,웰니스만족,log_총액,year
10,12,2,,2.0,,4.0,,,,,1,1,1917.7692410714287,3.0,,5,1.0,3.0,가족,싱가포르,1,1,7.558917935938039,2024
10,8,2,,2.0,,4.0,,,,,1,1,951.4676258992807,3.0,,7,2.0,3.0,가족,싱가포르,1,1,6.858005661879153,2024
10,7,1,1.0,,,,,,,,1,1,2674.8,3.0,,2,1.0,3.0,혼자,싱가포르,1,1,7.891629890179823,2024
5,7,1,1.0,,,,,,,,1,1,1890.3748395704943,,,8,11.0,,혼자,홍콩,0,0,7.544530416204403,2024
10,6,2,,2.0,,,,,,,1,1,928.75,3.0,,3,2.0,1.0,가족,싱가포르,1,1,6.833839596031969,2024
5,5,2,,,,,5.0,,,,1,1,1976.4663742690066,3.0,,2,3.0,1.0,가족,홍콩,1,1,7.5890658698265305,2024
10,6,2,,2.0,,4.0,,,,,1,1,1498.1803278688526,,,2,1.0,5.0,가족,싱가포르,0,0,7.312006535916866,2024
5,6,2,,,,,,6.0,,,1,1,438.6970000000001,3.0,,3,16.0,1.0,친구,홍콩,1,1,6.083808969762646,2024
4,4,2,,2.0,,4.0,,,,,1,1,392.5053533190578,,,7,1.0,2.0,가족,미국,0,0,5.972550176158899,2024
5,5,2,,,3.0,,5.0,,,,1,1,696.9963302752294,3.0,,2,1.0,3.0,가족,홍콩,1,1,6.546780145718298,2024
10,10,2,,2.0,,4.0,,,,,1,1,928.7500000000001,,,2,1.0,5.0,가족,싱가포르,0,0,6.833839596031969,2024
5,5,2,,,,,,6.0,,,1,1,1136.9014096916299,,,1,2.0,,친구,홍콩,0,0,7.036061779077673,2024
5,5,2,,,,,,6.0,,,1,1,921.2815889628928,3.0,,6,8.0,2.0,친구,홍콩,1,0,6.825765732156273,2024
5,3,1,1.0,,,,,,,,1,2,612.5162195121952,,,2,1.0,5.0,혼자,홍콩,0,0,6.417575422904508,2024
5,5,2,,,,,,6.0,,,1,1,664.8238058551619,,12.0,12,9.0,8.0,친구,홍콩,1,1,6.499522051948187,2024
5,4,1,1.0,,,,,,,,3,1,959.2500000000001,,,7,11.0,19.0,혼자,홍콩,0,0,6.866151729127062,2024
10,8,2,,2.0,,,,,,,1,1,720.71,3.0,,5,3.0,7.0,가족,싱가포르,1,1,6.580236837233051,2024
10,6,2,,,,,,6.0,,,1,1,1017.9100000000003,,12.0,12,1.0,5.0,친구,싱가포르,1,1,6.925506784557793,2024
10,7,2,,,3.0,,5.0,,,,1,1,932.2111801242236,3.0,12.0,2,5.0,12.0,가족,싱가포르,1,1,6.837559377134501,2024
10,7,2,,,3.0,,,,,,1,1,1393.7154859218892,3.0,12.0,2,1.0,12.0,가족,싱가포르,1,1,7.239728471437694,2024
7,17,1,1.0,,,,,,,,1,1,783.8999999999999,3.0,,2,3.0,1.0,혼자,베트남,1,1,6.664281461194676,2024
7,5,2,,,3.0,,5.0,,,,3,1,819.0,3.0,12.0,12,9.0,5.0,가족,베트남,1,1,6.70808408385307,2024
10,5,2,,2.0,3.0,,5.0,,,,3,1,1654.661,3.0,,1,3.0,7.0,가족,싱가포르,1,1,7.41135143299299,2024
10,9,2,,,,,,6.0,,,1,1,965.9000000000001,,12.0,13,2.0,8.0,친구,싱가포르,1,0,6.8730603091852505,2024
10,5,2,,,,,,6.0,,,1,1,549.8199999999999,3.0,,7,3.0,5.0,친구,싱가포르,1,1,6.309590951933838,2024
10,6,2,,2.0,,,,,,,1,2,520.1,3.0,,2,1.0,3.0,가족,싱가포르,1,1,6.254021100779027,2024
7,7,2,,,,,,6.0,,8.0,3,1,1560.0,,12.0,2,1.0,12.0,친구,베트남,1,1,7.352441100243583,2024
10,5,2,,2.0,,4.0,5.0,,,,3,1,1515.72,3.0,,1,3.0,7.0,가족,싱가포르,1,1,7.323645852573884,2024
4,10,1,1.0,,,,,,,,1,2,1100.0,,12.0,8,11.0,12.0,혼자,미국,1,1,7.003065458786462,2024
4,8,2,,,,,,6.0,,,1,1,2220.0,,,5,7.0,,친구,미국,0,0,7.705262474866325,2024
4,7,2,,,,,,6.0,,,1,1,1943.6619718309857,,,1,2.0,,친구,미국,0,0,7.572329087098026,2024
4,10,1,1.0,,,,,,,,1,2,1100.0,3.0,,2,1.0,3.0,혼자,미국,1,1,7.003065458786462,2024
4,9,1,1.0,,,,,,,,1,1,1330.0,3.0,,11,10.0,1.0,혼자,미국,1,0,7.1929342212158,2024
4,8,2,,,,,,6.0,,,1,1,855.5555555555555,,,1,2.0,7.0,친구,미국,0,0,6.751751030505556,2024
4,10,2,,,,,5.0,,,,1,2,1100.0,3.0,,7,,,가족,미국,1,0,7.003065458786462,2024
1,3,2,,2.0,,,,,,,3,1,689.5,,,5,2.0,6.0,가족,중국,0,0,6.5359666972333565,2024
1,3,2,,2.0,,,,,,,3,1,689.5,,,7,6.0,5.0,가족,중국,0,0,6.5359666972333565,2024
2,3,2,,,,,,6.0,,,2,1,640.0,,,11,2.0,13.0,친구,일본,0,0,6.461468176353717,2024
2,3,2,,,,,,6.0,,,1,1,275.93741109530583,,,1,2.0,,친구,일본,0,0,5.6201740686068105,2024
1,3,2,,,,,,,7.0,,3,1,537.81,,,2,6.0,7.0,직장동료,중국,0,0,6.287505337934856,2024
1,3,2,,,,,,,7.0,,3,1,689.5,,,6,5.0,2.0,직장동료,중국,0,0,6.5359666972333565,2024
2,4,1,1.0,,,,,,,,1,1,440.60301507537685,,,8,1.0,2.0,혼자,일본,0,0,6.08814427745735,2024
1,3,2,,,,,,,7.0,,3,1,537.81,,,7,2.0,5.0,직장동료,중국,0,0,6.287505337934856,2024
4,5,2,,,,,5.0,,,,1,1,400.0,3.0,12.0,3,12.0,5.0,가족,미국,1,1,5.991464547107982,2024
2,4,1,1.0,,,,,,,,1,2,151.0423572744015,3.0,,1,3.0,,혼자,일본,1,1,5.017560309229863,2024
1,3,2,,2.0,,,,,,,3,1,689.5,,,5,7.0,2.0,가족,중국,0,0,6.5359666972333565,2024
1,3,2,,2.0,,,,,,,3,1,537.81,,,5,2.0,7.0,가족,중국,0,0,6.287505337934856,2024
6,4,2,,,,,,6.0,,,1,1,791.7,3.0,12.0,12,2.0,3.0,친구,태국,1,1,6.674182532177388,2024
2,3,2,,,,,,6.0,,,2,1,755.2,3.0,,13,2.0,3.0,친구,일본,1,1,6.626982614831291,2024
6,6,1,1.0,,,,,,,,1,1,1064.6999999999998,,,2,4.0,5.0,혼자,태국,0,0,6.97044834832056,2024
2,4,2,,2.0,,,,,,,3,1,1164.8,3.0,,13,5.0,1.0,가족,일본,1,0,7.060304677442422,2024
6,8,2,,,,,5.0,,,,1,2,559.65,,12.0,12,5.0,4.0,가족,태국,1,1,6.327311588335276,2024
2,4,2,,,,,,6.0,,,3,1,1151.9999999999998,3.0,,11,1.0,5.0,친구,일본,1,0,7.049254841255836,2024
6,5,2,,2.0,,,,,,,1,1,914.55,,,6,5.0,15.0,가족,태국,0,0,6.818432141021935,2024
6,4,2,,2.0,,,,,,,1,1,873.6000000000001,3.0,,4,3.0,5.0,가족,태국,1,1,6.772622604990641,2024
6,15,1,1.0,,,,,,,,1,2,600.5999999999999,3.0,,2,4.0,6.0,혼자,태국,1,0,6.39792915554923,2024
6,4,2,,,,,,6.0,,,1,2,723.4500000000002,3.0,,5,2.0,3.0,친구,태국,1,1,6.584031435183091,2024
3,5,2,,,,,5.0,6.0,,,1,1,679.8000000000002,,,2,1.0,16.0,가족,대만,0,0,6.521798637262016,2024
12,16,2,,2.0,,,,,,,1,2,911.9909250000001,3.0,,4,1.0,3.0,가족,중동,1,1,6.815630039366929,2024
12,21,2,,,3.0,,,,,,1,1,553.306342780027,,,2,5.0,,가족,중동,0,0,6.315911813384403,2024
3,6,1,1.0,,,,,,,,1,2,768.0217391304349,3.0,,1,2.0,5.0,혼자,대만,1,0,6.643818038906481,2024
6,6,2,,,,,,6.0,,,1,1,2293.2,3.0,,14,3.0,6.0,친구,태국,1,1,7.737703501034227,2024
3,4,1,1.0,,,,,,,,1,1,1225.5254237288136,,,2,1.0,13.0,혼자,대만,0,0,7.111124948349728,2024
12,11,2,,,3.0,,,,,,1,1,1450.0,3.0,,4,5.0,1.0,가족,중동,1,0,7.27931883541462,2024
16,11,2,,2.0,,,,6.0,,,1,1,1457.6241176470587,,,6,7.0,2.0,가족,영국,0,0,7.284563072504277,2024
12,16,2,,,3.0,,,,,,1,1,1109.5890410958905,3.0,,6,7.0,2.0,가족,중동,1,0,7.011744992506185,2024
16,44,1,1.0,,,,,,,,1,2,3961.150629722923,3.0,,9,5.0,2.0,혼자,영국,1,0,8.284289825104599,2024
6,4,1,1.0,,,,,,,,1,1,1037.4,3.0,,3,2.0,10.0,혼자,태국,1,1,6.9444728619172995,2024
6,4,2,,,,,,,7.0,,1,1,1419.6000000000004,3.0,,2,1.0,3.0,직장동료,태국,1,1,7.258130420772342,2024
16,72,1,1.0,,,,,,,,1,2,3190.4285302593653,3.0,,3,5.0,7.0,혼자,영국,1,1,8.067910522261188,2024
6,8,1,1.0,,,,,,,,1,1,1446.8999999999999,,,1,2.0,5.0,혼자,태국,0,0,7.277178615743035,2024
16,15,2,,2.0,,,,,,,1,1,1332.3414141414137,,,8,2.0,6.0,가족,영국,0,0,7.194693135179747,2024
6,4,2,,,,,,6.0,,,1,1,873.5999999999999,3.0,,3,1.0,5.0,친구,태국,1,1,6.772622604990641,2024
16,13,2,,2.0,,,,,,,1,1,697.1008064516128,,,5,6.0,7.0,가족,영국,0,0,6.546930029358149,2024
6,4,2,,,,,,6.0,,,1,1,900.9,,,14,8.0,5.0,친구,태국,0,0,6.8033942636573945,2024
12,6,2,,2.0,,4.0,,,,,1,1,947.0095693779904,3.0,12.0,6,5.0,1.0,가족,중동,1,0,6.8533091980748235,2024
6,6,2,,,,,,6.0,,,1,1,1446.8999999999999,3.0,,5,3.0,2.0,친구,태국,1,1,7.277178615743035,2024
1,7,1,1.0,,,,,,,,1,1,744.66,3.0,12.0,1,3.0,2.0,혼자,중국,1,1,6.612927738369485,2024
16,21,1,1.0,,,,,,,,1,1,7200.511428571428,3.0,,1,5.0,7.0,혼자,영국,1,0,8.881907334227543,2024
5,8,2,,,3.0,,5.0,,,,1,1,2039.3596330275232,,12.0,2,1.0,12.0,가족,홍콩,1,1,7.620391132180991,2024
18,11,2,,,3.0,,,,,,1,2,546.2191636363638,3.0,,5,3.0,1.0,가족,독일,1,1,6.303020293807437,2024
5,3,1,1.0,,,,,,,,1,1,711.3342465753425,3.0,,11,1.0,2.0,혼자,홍콩,1,0,6.567142427038139,2024
18,8,1,1.0,,,,,,,,1,1,767.6106502636204,3.0,,3,5.0,,혼자,독일,1,1,6.643282638794483,2024
6,31,1,1.0,,,,,,,,1,2,1883.6999999999998,3.0,,14,3.0,2.0,혼자,태국,1,1,7.5409932067881735,2024
