D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT_개별국제교통비제외2,C문화서1인대체,C오락및1인대체,C미용서1인대체,weight,동행자유형,국가명,여가체험비율,log_총액,year
5,5,1,1.0,,,,,,,,1,1,1677.6,1,4,4,440.32523870592104,혼자,홍콩,0.00536480686695279,7.4251194795877105,2024
2,3,2,,,,,,6.0,,,2,2,603.5,1,1,1,752.7158618799989,친구,일본,0.004971002485501243,6.402746040537586,2024
1,7,2,,,,,,6.0,,,1,1,1145.0,3,1,1,1049.5001433881,친구,중국,0.004366812227074236,7.0431599159883405,2024
2,4,2,,,,,,6.0,,,1,1,584.2708333333333,3,1,1,705.8631648311641,친구,일본,0.008557675164913533,6.370364631034546,2024
5,7,2,,2.0,,,,,,,1,1,982.3808510638299,1,1,1,488.93279279353794,가족,홍콩,0.003053805453100262,6.889979065207619,2024
2,4,2,,,,4.0,,,,,1,1,527.0596090090091,1,1,1,752.7158618799989,가족,일본,0.005691955802951162,6.267313652218921,2024
5,4,2,,2.0,,,,,,,1,1,700.0,1,1,1,862.422400543984,가족,홍콩,0.004285714285714286,6.551080335043404,2024
4,8,1,1.0,,,,,,,,1,1,684.2284160435078,2,4,1,388.97385451732697,혼자,미국,0.010230501738698461,6.5282918034605455,2024
1,5,2,,,,,,6.0,,,1,1,1800.0,3,1,1,1480.31104030989,친구,중국,0.002777777777777778,7.495541943884256,2024
2,5,2,,,,,,6.0,,,1,1,504.1,1,1,1,735.1850467950859,친구,일본,0.005951200158698671,6.222774661088585,2024
1,5,2,,,,,,6.0,,,1,1,573.1800000000001,1,1,1,1351.39390400194,친구,중국,0.005233957918978331,6.351199803509972,2024
2,8,1,1.0,,,,,,,,1,1,1207.0,4,1,1,752.7158618799989,혼자,일본,0.004971002485501243,7.095893221097532,2024
3,5,2,,,3.0,,5.0,,,,3,1,872.1,1,1,1,876.7969357365749,가족,대만,0.0034399724802201583,6.77090409623294,2024
3,5,2,,,,,,6.0,,,3,1,620.1600000000001,1,1,1,787.709568583534,친구,대만,0.004837461300309597,6.429977509262347,2024
3,5,2,,2.0,,4.0,5.0,,7.0,,3,1,936.7,1,1,1,763.1009610555441,가족,대만,0.0032027329988256643,6.842363060215085,2024
3,4,2,,,,,,6.0,,,3,1,801.0400000000001,1,1,1,754.029975950347,친구,대만,0.003745131329271946,6.685910883399547,2024
2,4,2,,,,,,6.0,,,1,2,1312.867483296214,1,1,1,752.7158618799989,친구,일본,0.002285074493937427,7.179968942549963,2024
5,4,2,,,,,5.0,,,,1,1,1111.9339419087137,1,3,1,259.698618059049,가족,홍콩,0.004496670001292653,7.0138560682876445,2024
5,6,2,,,,,,6.0,,,1,1,2251.1679000000004,1,1,1,440.32523870592104,친구,홍콩,0.0013326416034983438,7.71920442719663,2024
2,3,2,,,,,5.0,,,,2,1,994.0000000000001,1,1,4,705.8631648311641,가족,일본,0.006036217303822937,6.901737206656574,2024
3,4,2,,,,,,6.0,,,3,1,717.0600000000001,1,1,1,754.029975950347,친구,대만,0.0041837503137812735,6.575159519106845,2024
2,3,2,,,,,,6.0,,,1,1,487.64578833693304,1,1,1,806.6266761627951,친구,일본,0.006152006377889981,6.189589298729304,2024
4,4,2,,2.0,,,,,,,1,1,180.85106382978722,1,1,1,484.6795786894971,가족,미국,0.016588235294117647,5.197673840768349,2024
4,4,2,,2.0,,,,,,,1,1,146.8354430379747,1,1,1,484.6795786894971,가족,미국,0.02043103448275862,4.989312524627435,2024
4,9,2,,,3.0,,,,,,1,1,593.9393939393939,3,1,1,388.97385451732697,가족,미국,0.008418367346938776,6.386777283752128,2024
3,4,2,,,,,,6.0,,,3,1,723.5200000000002,1,1,1,784.2784009458401,친구,대만,0.004146395400265368,6.584128189089605,2024
3,5,2,,,,,,6.0,,,1,1,1452.3211678832117,1,4,1,763.1009610555441,친구,대만,0.004131317598809859,7.280918360928052,2024
2,3,2,,,,,,6.0,,,2,1,780.9999999999999,3,1,1,787.024150723677,친구,일본,0.006402048655569783,6.660575149839686,2024
3,5,2,,2.0,,4.0,,,,,1,1,419.9,1,3,1,647.7272600611491,가족,대만,0.011907597046915934,6.040016587690148,2024
1,5,2,,,,,5.0,,,,3,1,1677.6000000000004,1,1,1,1480.31104030989,가족,중국,0.0017882689556509295,7.4251194795877105,2024
3,6,2,,,,4.0,5.0,,,,1,1,654.8090909090911,2,1,1,754.029975950347,가족,대만,0.0061086506823640465,6.48434372889036,2024
3,6,2,,,3.0,4.0,5.0,6.0,,,1,1,968.9999999999999,1,3,1,607.02126923042,가족,대만,0.005159958720330238,6.876264611890766,2024
5,5,2,,2.0,,,,,,,1,1,607.5250000000001,1,1,1,259.698618059049,가족,홍콩,0.0049380683922472315,6.409393326631347,2024
2,5,2,,,,,,6.0,,,1,2,539.5999999999999,1,3,3,705.8631648311641,친구,일본,0.012972572275759825,6.290828124333601,2024
5,5,2,,2.0,,,,,,,1,1,634.9681102362206,1,1,1,488.93279279353794,가족,홍콩,0.004724646721051773,6.4535747775311805,2024
1,16,1,1.0,,,,,,,,1,1,2044.1153889199777,4,1,1,1407.13774575507,혼자,중국,0.0029352550411403835,7.622720402235093,2024
2,3,2,,2.0,,,,,,,2,1,710.0000000000001,1,1,1,735.1850467950859,가족,일본,0.004225352112676056,6.565264970035361,2024
4,3,2,,,,4.0,,,,,1,1,484.6938775510204,4,1,1,484.6795786894971,가족,미국,0.012378947368421052,6.183517511352161,2024
4,3,2,,,3.0,,,,,,1,1,484.6938775510204,4,1,1,479.978870823831,가족,미국,0.012378947368421052,6.183517511352161,2024
1,4,2,,,,,,6.0,,,1,1,4193.123510971787,1,1,1,1351.39390400194,친구,중국,0.0007154571030760618,8.341201203205278,2024
1,5,2,,,,,,6.0,,,1,1,658.0675675675676,1,1,1,1351.39390400194,친구,중국,0.0045588023902909825,6.489307612326342,2024
2,4,2,,,,,,6.0,,,1,1,821.3725490196077,1,1,1,787.024150723677,친구,일본,0.003652423012652185,6.710976781216755,2024
1,5,2,,,,,,6.0,,,2,1,601.1399999999999,1,1,1,1351.39390400194,친구,중국,0.004990518015770038,6.398827852499227,2024
4,7,2,,,,4.0,,,,,1,2,3400.0,1,1,1,1171.0100003402201,가족,미국,0.0008823529411764706,8.131530710604252,2024
1,6,2,,,,,,6.0,,,1,1,1474.89,4,1,1,1480.31104030989,친구,중국,0.00406809999389785,7.296338689721785,2024
1,5,2,,,,,,6.0,,,1,1,988.0142774566472,2,1,1,1049.5001433881,친구,중국,0.004048524491262238,6.895697148510507,2024
6,5,2,,,,,5.0,6.0,7.0,,3,1,817.5999999999999,1,1,1,240.486440768193,가족,태국,0.0036692759295499024,6.70637321944944,2024
1,5,2,,,,4.0,5.0,,,,1,1,822.7126514131899,1,1,1,1407.13774575507,가족,중국,0.003646473644044297,6.712606991974708,2024
1,6,2,,,,,,6.0,,,1,1,1204.9428571428575,1,1,4,1351.39390400194,친구,중국,0.004979489246674411,7.094187423342113,2024
2,5,2,,,,4.0,,,,,1,1,947.8500000000001,1,1,4,752.7158618799989,가족,일본,0.006330115524608323,6.854196261887574,2024
1,5,2,,,3.0,4.0,5.0,,,,1,1,1551.250370955012,1,1,1,1480.31104030989,가족,중국,0.0019339237921684297,7.346816575651753,2024
1,5,2,,,3.0,,5.0,,,,1,1,934.7574969623331,1,1,1,1351.39390400194,가족,중국,0.0032093885416795837,6.840287134111055,2024
4,8,1,1.0,,,,,,,,1,1,1690.5660377358492,1,4,1,388.97385451732697,혼자,미국,0.0035491071428571425,7.4328186854109,2024
4,18,2,,,,,,6.0,,,1,1,2030.6946688206785,2,2,2,474.30126996308496,친구,미국,0.002954653937947494,7.616133214887788,2024
1,4,2,,2.0,,,,,,,1,1,981.0383720930231,1,1,1,1131.89127413267,가족,중국,0.003057984361610207,6.8886115740837885,2024
4,15,1,1.0,,,,,,,,1,2,250.94664371772805,2,1,1,388.97385451732697,혼자,미국,0.015939643347050756,5.525240341704784,2024
6,5,2,,,,,,6.0,,,1,1,463.4039999999999,1,2,1,409.66089016942095,친구,태국,0.00863177702393592,6.138599243812553,2024
6,7,2,,2.0,,,,,,,1,1,720.4904214559388,4,1,1,230.45809785818898,가족,태국,0.008327661022717604,6.579932121049942,2024
4,64,1,1.0,,,,,,,,1,2,4190.291262135922,1,1,1,550.525754292935,혼자,미국,0.000715940685820204,8.340525524136481,2024
6,4,2,,2.0,,4.0,5.0,,,,3,1,584.0,1,1,1,282.150973914496,가족,태국,0.005136986301369863,6.369900982828227,2024
4,26,1,1.0,,,,,,,,1,2,4979.79797979798,3,1,1,630.5049579801159,혼자,미국,0.001004056795131846,8.513144602890238,2024
6,4,2,,,,,,6.0,,,3,1,700.8,1,1,1,275.953775548807,친구,태국,0.00428082191780822,6.552222539622182,2024
3,6,2,,,,,,6.0,,,1,1,740.7976331360946,2,1,1,607.02126923042,친구,대만,0.005399585286289846,6.607727488316194,2024
2,4,2,,2.0,,4.0,,,,,2,1,740.7666666666668,1,1,1,787.024150723677,가족,일본,0.004049858254961076,6.607685685919313,2024
2,4,2,,2.0,,,,,,,1,1,628.9014563106796,1,3,1,991.5346288190939,가족,일본,0.007950371158832207,6.443974577194224,2024
4,33,1,1.0,,,,,,,,1,2,139.8,1,1,1,484.6795786894971,혼자,미국,0.02145922746781116,4.94021282979971,2024
3,4,2,,,3.0,,5.0,,,,3,1,717.0600000000001,1,1,1,876.7969357365749,가족,대만,0.0041837503137812735,6.575159519106845,2024
4,11,2,,,,,,6.0,,,1,2,1047.0198675496688,1,1,1,474.30126996308496,친구,미국,0.0028652751423149905,6.953703186382639,2024
3,5,2,,2.0,,,,6.0,,,1,1,575.737012987013,2,1,1,829.9752930269589,가족,대만,0.006947616550215138,6.355650981758613,2024
1,4,2,,,,,,6.0,,,1,1,1076.46,4,1,1,1700.6694270118599,친구,중국,0.005573825316314587,6.981433158659348,2024
1,30,1,1.0,,,,,,,,1,1,1138.3714285714286,1,1,4,1351.39390400194,혼자,중국,0.005270687448234319,7.0373539485789465,2024
4,90,1,1.0,,,,,,,,1,1,5297.8723404255325,3,1,1,446.014661099193,혼자,미국,0.0009437751004016063,8.575060573736787,2024
3,6,2,,,,,,6.0,,,1,1,1078.8200000000002,1,3,1,876.7969357365749,친구,대만,0.004634693461374464,6.9836231302112655,2024
4,3,1,1.0,,,,,,,,1,1,993.3110367892976,1,1,1,388.97385451732697,혼자,미국,0.0030202020202020202,6.901043844394151,2024
4,27,2,,2.0,,,,,,,1,1,1001.1228945726762,2,1,1,630.5049579801159,가족,미국,0.003995513459621137,6.908877543580255,2024
3,5,2,,,,,,6.0,,,1,1,139.8,1,1,1,829.9752930269589,친구,대만,0.02145922746781116,4.94021282979971,2024
7,21,2,,2.0,,,,,,,1,2,480.9307003891051,2,1,1,118.90259140010701,가족,베트남,0.008317206609525516,6.175723185690976,2024
3,4,2,,,,,,6.0,,,1,1,1582.7000000000003,1,1,4,754.029975950347,친구,대만,0.0037909900802426226,7.366887528339237,2024
1,11,1,1.0,,,,,,,,1,1,2236.8,4,1,4,1351.39390400194,혼자,중국,0.004023605150214592,7.712801552039491,2024
4,6,2,,,,,5.0,,,,1,1,800.0,1,1,1,484.6795786894971,가족,미국,0.00375,6.684611727667927,2024
3,6,2,,2.0,,4.0,,,,,1,1,1099.4887780548631,1,4,1,784.2784009458401,가족,대만,0.0054570816180723285,7.002600603535147,2024
10,5,2,,2.0,,,,,,,1,1,1307.265306122449,1,3,1,281.172114716803,가족,싱가포르,0.0038247783189709005,7.175692681641843,2024
5,7,2,,2.0,,,,,,,1,1,1149.703711790393,1,4,1,440.32523870592104,가족,홍콩,0.005218735869484506,7.047259546240517,2024
3,5,2,,,3.0,,5.0,,,,1,1,737.5166666666668,1,3,1,876.7969357365749,가족,대만,0.006779507807733158,6.603288686828681,2024
3,7,2,,,,,,6.0,,,1,1,2582.4651531150994,1,1,1,754.029975950347,친구,대만,0.001161680728346421,7.856499707433288,2024
10,6,2,,,3.0,,,,,,1,1,584.04,1,1,1,144.32765236244998,가족,싱가포르,0.00513663447709061,6.369969473633363,2024
6,5,2,,2.0,,,5.0,6.0,7.0,,3,1,759.2,1,1,1,274.384044962315,가족,태국,0.003951527924130663,6.632265247295718,2024
4,21,2,,2.0,,,,,,,1,2,400.0,1,1,1,550.525754292935,가족,미국,0.0075,5.991464547107982,2024
3,5,2,,2.0,,,5.0,,,,3,1,1453.5,1,1,1,784.2784009458401,가족,대만,0.0020639834881320948,7.281729719998931,2024
3,6,2,,2.0,,,,,,,1,1,1020.6799999999997,1,1,1,607.02126923042,가족,대만,0.002939216992593174,6.928224350821477,2024
3,4,2,,,,,,6.0,,,1,1,1114.35,1,1,1,607.02126923042,친구,대만,0.002692152375824472,7.016026554265925,2024
3,4,2,,2.0,,4.0,,,,,3,1,2584.0,1,1,1,763.1009610555441,가족,대만,0.0011609907120743034,7.857093864902493,2024
3,5,2,,,3.0,,,,,,3,1,1679.6,1,1,1,876.7969357365749,가족,대만,0.00178613955703739,7.4263109488100385,2024
3,6,1,1.0,,,,,,,,3,1,1485.8,1,1,1,763.1009610555441,혼자,대만,0.002019114281868354,7.303708626717706,2024
7,5,2,,,,,,6.0,,,1,1,614.25052,2,1,1,293.350984338459,친구,베트남,0.006512000999201433,6.4204028579617765,2024
7,5,2,,,,,,6.0,,,3,1,1011.2661,1,1,1,118.90259140010701,친구,베트남,0.0029665782329695418,6.918958389135953,2024
3,4,2,,,,4.0,,,,,3,1,1356.6000000000001,1,1,1,607.02126923042,가족,대만,0.00221141088014153,7.212736848511979,2024
7,4,2,,,,,,6.0,,,3,1,913.8849200000001,1,1,1,118.90259140010701,친구,베트남,0.0032826890282859683,6.81770465543078,2024
7,6,2,,,,,,6.0,,,1,1,638.0146275862069,3,2,1,355.950172257362,친구,베트남,0.00940417310289535,6.458361210333073,2024
3,5,2,,2.0,,,5.0,6.0,7.0,,3,1,969.0000000000002,1,1,1,647.7272600611491,가족,대만,0.0030959752321981417,6.876264611890766,2024
10,8,2,,,,,,6.0,,,1,1,1161.3080184331798,2,1,1,230.707719952346,친구,싱가포르,0.0034443919584717436,7.05730225093224,2024
1,7,2,,2.0,,4.0,,,,,1,1,943.5061728395061,1,1,3,1480.31104030989,가족,중국,0.005299382392965561,6.849602907277405,2024
1,5,2,,,,,,6.0,,,1,1,139.8,1,1,3,1351.39390400194,친구,중국,0.035765379113018594,4.94021282979971,2024
3,9,1,1.0,,,,,,,,1,1,1103.3003951742253,2,1,1,876.7969357365749,혼자,대만,0.003625485876281544,7.006061325940967,2024
2,5,1,1.0,,,,,,,,1,2,854.6377708978325,1,1,1,806.6266761627951,혼자,일본,0.0035102590853764576,6.750677719398988,2024
2,1,1,1.0,,,,,,,,1,1,468.6,1,1,4,705.8631648311641,혼자,일본,0.012804097311139564,6.149749526073696,2024
2,3,2,,,,,,6.0,,,1,1,440.20000000000005,1,3,1,735.1850467950859,친구,일본,0.011358473421172193,6.087229169092361,2024
3,5,2,,2.0,,4.0,,,,,3,1,2002.6000000000001,1,1,1,763.1009610555441,가족,대만,0.0014980525317087785,7.602201615273702,2024
3,5,2,,2.0,,4.0,,,,,3,1,1227.4,1,1,1,784.2784009458401,가족,대만,0.002444190972788007,7.112653389954997,2024
3,5,2,,,,4.0,5.0,,,,3,1,2616.3,1,1,1,784.2784009458401,가족,대만,0.0011466574934067193,7.86951638490105,2024
3,5,2,,2.0,,4.0,,6.0,,,3,1,1388.9,1,1,1,784.2784009458401,가족,대만,0.002159982720138239,7.236267345922173,2024
18,9,2,,2.0,,,,,,,1,1,821.025,1,4,1,349.76925516955004,가족,독일,0.007307938247921805,6.710553559658731,2024
3,5,2,,2.0,,4.0,5.0,,,,3,1,1615.0000000000002,1,1,1,607.02126923042,가족,대만,0.0018575851393188851,7.387090235656757,2024
3,5,2,,,,,5.0,,,,3,1,1388.9,1,1,1,876.7969357365749,가족,대만,0.002159982720138239,7.236267345922173,2024
4,14,1,1.0,,,,,,,,1,2,3200.0,1,1,1,484.6795786894971,혼자,미국,0.0009375,8.070906088787819,2024
18,15,1,1.0,,,,,,,,1,2,914.7238983050846,3,1,1,124.62049905078801,혼자,독일,0.005466130281787355,6.818622269253437,2024
3,8,1,1.0,,,,,,,,1,1,1222.5334143377888,2,1,1,876.7969357365749,혼자,대만,0.0032718942100790635,7.10868055376714,2024
1,5,2,,,,,5.0,,,,1,1,1522.2666666666664,1,1,1,1049.5001433881,가족,중국,0.0019707453796969435,7.327955731134062,2024
1,5,2,,,,,,6.0,,,1,1,339.3677064220184,2,1,1,1351.39390400194,친구,중국,0.011786625316157298,5.827084199251422,2024
1,6,2,,,,,,6.0,,,1,1,571.7461538461539,1,1,1,1351.39390400194,친구,중국,0.005247083832254766,6.348695105894963,2024
2,4,2,,,,,,6.0,,,1,1,440.8185117967332,1,1,1,735.1850467950859,친구,일본,0.006805521818428842,6.088633252866005,2024
3,4,2,,2.0,,,,6.0,,,2,1,969.0000000000002,1,1,1,784.2784009458401,가족,대만,0.0030959752321981417,6.876264611890766,2024
1,5,2,,,,,,6.0,,,1,1,824.8200000000002,1,1,1,1351.39390400194,친구,중국,0.003637157197934094,6.7151651807113835,2024
1,5,2,,,,,,6.0,,,1,2,922.6800000000001,1,1,1,1351.39390400194,친구,중국,0.0032513981011835086,6.82728247883209,2024
3,5,2,,,,,,6.0,,,3,1,904.4000000000001,1,1,1,607.02126923042,친구,대만,0.003317116320212295,6.807271740403815,2024
18,31,2,,,,,5.0,,,,1,1,2450.0,2,1,1,124.62049905078801,가족,독일,0.0016326530612244899,7.803843303538772,2024
3,7,2,,,,,,,7.0,,1,1,629.0000000000001,3,1,1,607.02126923042,직장동료,대만,0.00794912559618442,6.444131256700441,2024
18,19,1,1.0,,,,,,,,1,2,1000.4165895953759,1,1,1,130.541653571801,혼자,독일,0.002998750751637742,6.908171781828159,2024
5,9,2,,,,,,6.0,,,1,1,2881.3915691236953,1,1,1,440.32523870592104,친구,홍콩,0.0010411635933648465,7.96602864015783,2024
1,5,1,1.0,,,,,,,,1,2,636.7231,1,1,1,1407.13774575507,혼자,중국,0.00471162425236339,6.45633486718784,2024
1,5,1,1.0,,,,,,,,1,1,1510.8816470588235,4,1,1,1480.31104030989,혼자,중국,0.003971191265497185,7.320448631646289,2024
1,5,1,1.0,,,,,,,,1,2,480.38217636022523,1,1,1,1351.39390400194,혼자,중국,0.006245027704255171,6.174581987852735,2024
1,2,1,1.0,,,,,,,,1,2,228.24489795918365,1,1,1,1480.31104030989,혼자,중국,0.013143776824034337,5.430419166362965,2024
3,5,2,,,,,,6.0,,,1,1,623.3900000000001,1,1,3,876.7969357365749,친구,대만,0.008020661223311248,6.435172326139451,2024
3,5,2,,2.0,,,5.0,6.0,7.0,,3,1,1033.6000000000001,1,1,1,787.709568583534,가족,대만,0.002902476780185758,6.9408031330283375,2024
1,5,1,1.0,,,,,,,,1,2,349.5,1,1,1,1480.31104030989,혼자,중국,0.008583690987124463,5.856503561673865,2024
3,4,2,,,3.0,,5.0,,,,3,1,901.1700000000001,1,1,1,763.1009610555441,가족,대만,0.003329005626019508,6.803693919055931,2024
1,5,2,,,,,,6.0,,,1,1,1076.46,1,1,1,1480.31104030989,친구,중국,0.0027869126581572933,6.981433158659348,2024
3,5,2,,,3.0,,5.0,,,,3,1,872.0999999999999,1,1,1,876.7969357365749,가족,대만,0.0034399724802201587,6.77090409623294,2024
3,6,2,,,,,,6.0,,,1,1,794.5799999999999,2,1,3,607.02126923042,친구,대만,0.007551159102922299,6.677813673166928,2024
3,5,2,,,,,5.0,6.0,7.0,,3,1,1033.6,1,1,1,754.029975950347,가족,대만,0.0029024767801857586,6.9408031330283375,2024
3,5,2,,,,,,6.0,,,3,1,910.8599999999999,1,1,1,784.2784009458401,친구,대만,0.0032935906725512156,6.8143892081726785,2024
3,5,2,,,,,,6.0,,,1,1,842.6086956521739,2,1,1,784.2784009458401,친구,대만,0.004747162022703819,6.736502669515607,2024
2,3,2,,,,4.0,,,,,2,1,781.0000000000001,1,1,1,752.7158618799989,가족,일본,0.003841229193341869,6.660575149839686,2024
3,6,2,,2.0,,4.0,,,,,1,1,453.4584415584416,1,1,1,607.02126923042,가족,대만,0.00661582126399418,6.116903626014135,2024
2,3,2,,,,4.0,,,,,2,1,795.2,1,1,4,752.7158618799989,가족,일본,0.007545271629778672,6.678593655342365,2024
6,6,1,1.0,,,,,,,,1,2,730.0,3,1,1,240.486440768193,혼자,태국,0.00684931506849315,6.593044534142437,2024
5,5,2,,,,,,6.0,,,1,1,836.3708677685954,2,3,1,440.32523870592104,친구,홍콩,0.007173851016604349,6.729072136446442,2024
2,3,2,,,,,,6.0,,,2,1,1278.0,1,1,4,705.8631648311641,친구,일본,0.004694835680751174,7.15305163493748,2024
5,6,2,,,,,,6.0,,,1,1,1764.5604790419163,1,1,1,440.32523870592104,친구,홍콩,0.0017001400833984884,7.475656917983824,2024
10,9,2,,2.0,,,,,,,1,1,2032.382392909897,1,1,1,230.707719952346,가족,싱가포르,0.0014761001721259259,7.616963976480859,2024
5,8,2,,2.0,,,,,,,1,1,667.0281456953643,1,1,1,284.488451063396,가족,홍콩,0.00449756133884359,6.502832242469661,2024
6,6,2,,,,,,6.0,,,1,1,2540.3999999999996,1,1,1,282.150973914496,친구,태국,0.001180916391119509,7.8400768279288195,2024
2,4,2,,,,,,6.0,,,2,1,873.3,1,1,1,705.8631648311641,친구,일본,0.0034352456200618347,6.7722791394196875,2024
2,4,2,,,,,,6.0,,,1,1,598.1039999999999,2,1,1,705.8631648311641,친구,일본,0.006687800115030163,6.393764651872989,2024
2,4,2,,,,,,6.0,,,1,1,881.9424920127796,1,1,1,705.8631648311641,친구,일본,0.003401582333507216,6.7821268520814915,2024
10,7,2,,2.0,,,,,,,1,1,1318.8,1,1,1,133.183966580624,가족,싱가포르,0.002274795268425842,7.184477511197576,2024
6,8,2,,2.0,,,,,,,1,1,973.3333333333334,1,1,1,275.953775548807,가족,태국,0.0030821917808219177,6.880726606594218,2024
2,4,2,,2.0,,,,,,,1,2,674.5,1,1,1,991.5346288190939,가족,일본,0.004447739065974796,6.51397167564781,2024
5,4,2,,,,,,6.0,,,1,1,1166.448,1,1,1,345.80329057948103,친구,홍콩,0.0025719106209621,7.061718512671037,2024
2,4,2,,,,,5.0,,,,1,1,802.3000000000002,1,1,4,735.1850467950859,가족,일본,0.007478499314470894,6.68748260275961,2024
10,8,2,,,3.0,,5.0,,,,1,1,745.4086956521741,2,2,2,230.707719952346,가족,싱가포르,0.00804927556519913,6.613932652729964,2024
2,3,2,,,,,,6.0,,,1,1,641.1679389312977,1,1,1,752.7158618799989,친구,일본,0.004678961342016596,6.46329141781855,2024
3,6,2,,2.0,,4.0,,,,,1,1,508.3163547706905,1,1,1,763.1009610555441,가족,대만,0.0059018364682626575,6.231103999364494,2024
