F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75
1,1,10,11,11,11,2,11,11,11,3,,,,1,,,4,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2314.2,2314.2,3,210.381818181818,210.381818181818,3,5,5,5,11,4,12,1,5,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,1,2,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5785.5,5785.5,5,525.954545454546,525.954545454546,5,3,3,3,11,4,97,1,3,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,1,2,3,4,,6,,,,,,,,14,15,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5785.5,5785.5,5,525.954545454546,525.954545454546,5,5,5,5,11,4,97,2,2,3,2,1,1,
1,1,100,101,,14,1,87,,13,1,4,1,3,,2,3,4,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,1,,3,,,,,,3311.88885301009,3311.88885301009,4,32.7909787426742,,,5,5,5,10,4,10,1,5,1,1,1,1,
1,1,100,101,,14,1,87,,13,2,13,,,,,,4,5,6,,,,,,,,,,,,1,,,,,,7,,,10,11,,13,,,,,1,,,,5,6,,,2000,2000,2,19.8019801980198,,,5,5,5,7,3,9,2,4,2,1,2,1,
1,1,100,101,,14,1,87,,13,2,13,,,,2,,,,,,,,,,,,14,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,8800,8800,5,87.1287128712871,,,4,4,4,3,1,9,2,1,2,1,1,1,
1,1,100,101,,14,1,87,,13,2,13,,,,2,,,,,,,,,,12,,,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,,3000,3000,3,29.7029702970297,,,5,5,5,9,3,9,2,3,2,1,1,1,
1,1,100,101,,14,1,87,,13,2,13,,,1,2,3,,5,6,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,6,,,2900,2900,3,28.7128712871287,,,5,5,5,7,3,97,2,2,2,1,1,1,
1,1,100,101,,14,1,87,,13,2,13,2,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,3000,3000,3,29.7029702970297,,,5,5,5,1,1,15,2,2,2,1,1,1,
1,1,100,101,,14,1,87,,13,2,13,2,1,1,2,3,4,5,6,,,,,11,,,,,,,1,,,,,6,,,,,,,,,,,,1,,,,5,,,,1540,1540,2,15.2475247524753,,,5,5,5,10,4,19,2,2,2,1,1,1,
1,1,100,101,,14,1,87,,13,3,,,,,,,,,,,,,,,,,14,,,,,2,,,,,7,,,,,,,,,,,,2,,,5,,,,4000,4000,4,39.6039603960396,,,5,4,4,1,1,97,1,3,3,1,2,1,
1,1,100,101,,14,1,87,,13,3,,,,,2,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5900,5900,5,58.4158415841584,,,5,5,5,9,3,9,2,2,3,1,1,1,
1,1,100,101,,14,1,87,,13,3,,,,,2,3,,,,,,,,,,,,,,,1,2,,,,,,8,,,,,,,,,,1,2,,,5,,,,8300,8300,5,82.1782178217822,,,4,2,4,8,3,97,1,2,3,1,1,1,
1,1,100,101,,14,1,87,,13,4,,,,,2,3,4,,,,,,,,,,,15,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4629,4629,4,45.8316831683168,,,5,4,5,5,2,2,2,2,4,1,1,1,1
1,1,100,101,,14,1,87,,13,4,,,,,2,3,4,5,,,,,,,,,,15,,,1,2,3,,,,,,,,,,,,,,17,1,2,3,,,,,8,1132.1,1132.1,2,11.2089108910891,,,4,3,5,12,4,13,1,2,4,1,2,1,
1,1,100,101,,14,1,87,,13,4,,,,,2,3,4,5,6,,,,,,,,,15,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,5000,5000,4,49.5049504950495,,,5,5,5,8,3,9,1,2,4,1,1,1,
1,1,100,101,,14,1,87,,13,4,,,,,2,3,4,5,6,,,,,11,,,,,,,1,2,,4,,,,,,,,,13,,,,,1,2,,4,,6,,,3300,3300,4,32.6732673267327,,,5,3,5,12,4,15,1,2,4,1,1,1,
1,1,100,101,,14,1,87,,13,4,,,,1,2,,,,,,,,,,,,,15,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,12560,,6,124.356435643564,,,5,4,5,12,4,2,1,1,4,1,2,1,1
1,1,100,101,,14,1,87,,13,4,,,,1,2,3,4,5,6,,,,,11,,,,15,,,1,2,3,4,,,,,,,,,13,,,,,1,2,3,4,,6,,,5322.66,5322.66,5,52.699603960396,,,5,3,5,11,4,13,2,2,4,1,1,1,1
1,1,104,105,,14,1,91,,14,3,,,,,2,3,4,5,6,,,,,,,,14,15,16,,1,,3,4,,,,,,,,,,,,,17,1,,3,4,,,,8,11571,,6,110.2,,,5,5,5,11,4,97,1,4,3,1,2,1,
1,1,105,106,,14,1,92,,14,3,,,,,2,3,4,,,,,,10,11,12,,14,,,,1,,3,,,,,,,,,,,,,,17,1,,3,,,,,8,10000,10000,5,94.3396226415094,,,5,5,5,11,4,10,1,2,3,1,1,1,
1,1,105,106,,14,1,92,,14,4,,,,,2,,,5,,,,,,,12,,,15,,,1,,3,,,6,,,,,,,13,,,,17,1,,3,,5,6,,8,5660.5,5660.5,5,53.4009433962264,,,5,5,5,12,4,13,2,2,4,1,1,1,
1,1,106,107,,14,1,93,,14,4,,,,,2,3,,5,,,,,,,,13,,15,,,,,,,,,,,,,,,,14,,16,,,,,,,,7,,18768,,6,175.401869158879,,,5,5,5,11,4,2,1,2,4,1,1,1,1
1,1,107,108,,14,1,94,,14,4,,,,,2,3,,,,,,,,,,,,15,,,,,,,,,,,,,11,,,,,,17,,,,,,6,,8,15640,,6,144.814814814815,,,5,5,5,11,4,2,1,3,4,1,1,1,1
1,1,109,110,,14,1,96,,14,4,,,,1,2,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,14,,,,,,,,,,7,,12560,,6,114.181818181818,,,5,5,5,12,4,2,2,2,4,1,1,1,
1,1,11,12,12,11,2,12,12,11,1,1,2,7,,2,3,,,6,,,,,11,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,7333,7333,5,611.083333333333,611.083333333333,5,4,5,5,12,4,4,2,1,1,2,1,1,1
1,1,11,12,12,11,2,12,12,11,1,1,3,2,1,2,3,4,5,6,,,,,11,,,,,,,1,,,,,,,,,,,,,,,,17,1,,,,,,,8,3705,3705,4,308.75,308.75,4,5,5,5,11,4,4,2,1,1,2,1,1,
1,1,11,12,12,11,2,12,12,11,1,1,3,5,1,2,3,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2199.9,2199.9,3,183.325,183.325,3,5,5,5,12,4,4,1,2,1,2,1,1,
1,1,11,12,12,11,2,12,12,11,2,13,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,7,,2500,2500,3,208.333333333333,208.333333333333,3,4,5,4,12,4,9,2,2,2,2,2,1,
1,1,11,12,12,11,2,12,12,11,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,13,,,,,,,,,,6,,,3000,3000,3,250,250,3,4,4,4,6,2,14,1,5,3,2,1,1,
1,1,11,12,12,11,2,12,12,11,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,11,,,,,,,,,,,,6,,,1205.5,1205.5,2,100.458333333333,100.458333333333,3,5,5,5,5,2,12,1,3,3,2,1,1,
