F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63
1,1,2,13,,,60,61,,12,1,15,,,,,,,,,,,,,,,,,,,,,,7,,2500,2500,5,,,5,5,2,,,,,,,,,,,,244,12,4,15,2,40,2,1,1
1,1,2,13,,,62,63,,12,,1,2,,,,,,,,,,,,,,,1,2,,,,,,,5000,5000,6,,,5,,,,,,,,,,,,,,8,7,3,9,2,15,2,1,
1,1,2,13,,,86,87,,12,,1,2,,,,,,,,,,,,,,,1,2,,,,,,,1300,1300,3,,,5,,,,,,,,,,,,,,8,5,2,9,2,20,2,1,
1,1,2,13,,,90,91,,13,1,1,11,13,,,,,,,,,,,,,,1,,,,,6,,,4000,4000,6,,,5,5,2,3,4,12,,,,,,,,,8,11,4,9,1,30,2,1,1
1,1,2,13,,,90,91,,13,1,2,,,,,,,,,,,,,,,,,2,,,,,,,6000,6000,6,,,5,5,2,3,10,,,,,,,,,,8,9,3,9,2,20,2,1,1
1,1,2,13,,,90,91,,13,1,2,1,,,,,,,,,,,,,,,1,2,,,,,,,3831.04,3831.04,6,,,5,5,2,,,,,,,,,,,,83,12,4,97,2,30,2,1,1
1,1,2,13,,,92,93,,13,,2,,,,,,,,,,,,,,,,,2,,,,,,,3000,3000,5,,,5,,,,,,,,,,,,,,8,5,2,9,2,15,2,1,
1,1,2,13,2,,75,76,,12,,1,,,,,,,,,,,,,,,,1,,,,,,,,3849.42338845494,3849.42338845494,6,,,5,,,,,,,,,,,,,,13,5,2,14,1,30,2,1,
1,1,2,2,1,,180,181,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,8659.05824082573,8659.05824082573,6,,,4,4,1,2,,,,,,,,,,,2,11,4,2,2,30,2,1,1
1,1,2,2,1,,300,301,,13,,3,2,,,,,,,,,,,,,,,,2,3,,,,,,15548,,98,,,5,5,1,2,3,4,10,,,,,,,,2,11,4,2,2,20,2,1,
