기준년월,행정동명,방문자 구분,방문자 수,시설이름,시도,시군,지정년도
202402,만촌3동,전체방문자(a+b),478986,한국전통문화체험관,대구광역시,수성구,2024
202402,만촌3동,현지인방문자(a),317062,한국전통문화체험관,대구광역시,수성구,2024
202403,만촌3동,외지인방문자(b),200018,한국전통문화체험관,대구광역시,수성구,2024
202403,만촌3동,전체방문자(a+b),594797,한국전통문화체험관,대구광역시,수성구,2024
202403,만촌3동,현지인방문자(a),394779,한국전통문화체험관,대구광역시,수성구,2024
202404,단산면,외지인방문자(b),18389,소백산 생태탐방원,경상북도,영주시,2024
202404,단산면,전체방문자(a+b),66490,소백산 생태탐방원,경상북도,영주시,2024
202404,단산면,현지인방문자(a),48100,소백산 생태탐방원,경상북도,영주시,2024
202405,단산면,외지인방문자(b),23320,소백산 생태탐방원,경상북도,영주시,2024
202405,단산면,전체방문자(a+b),73997,소백산 생태탐방원,경상북도,영주시,2024
202405,단산면,현지인방문자(a),50676,소백산 생태탐방원,경상북도,영주시,2024
202406,단산면,외지인방문자(b),18074,소백산 생태탐방원,경상북도,영주시,2024
202406,단산면,전체방문자(a+b),64771,소백산 생태탐방원,경상북도,영주시,2024
202406,단산면,현지인방문자(a),46697,소백산 생태탐방원,경상북도,영주시,2024
202407,단산면,외지인방문자(b),19184,소백산 생태탐방원,경상북도,영주시,2024
202407,단산면,전체방문자(a+b),64540,소백산 생태탐방원,경상북도,영주시,2024
202407,단산면,현지인방문자(a),45356,소백산 생태탐방원,경상북도,영주시,2024
202408,단산면,외지인방문자(b),23905,소백산 생태탐방원,경상북도,영주시,2024
202408,단산면,전체방문자(a+b),69276,소백산 생태탐방원,경상북도,영주시,2024
202408,단산면,현지인방문자(a),45370,소백산 생태탐방원,경상북도,영주시,2024
202409,단산면,외지인방문자(b),25942,소백산 생태탐방원,경상북도,영주시,2024
202409,단산면,전체방문자(a+b),72954,소백산 생태탐방원,경상북도,영주시,2024
202409,단산면,현지인방문자(a),47012,소백산 생태탐방원,경상북도,영주시,2024
202410,단산면,외지인방문자(b),20174,소백산 생태탐방원,경상북도,영주시,2024
202410,단산면,전체방문자(a+b),66504,소백산 생태탐방원,경상북도,영주시,2024
202410,단산면,현지인방문자(a),46330,소백산 생태탐방원,경상북도,영주시,2024
202411,단산면,외지인방문자(b),18406,소백산 생태탐방원,경상북도,영주시,2024
202411,단산면,전체방문자(a+b),60851,소백산 생태탐방원,경상북도,영주시,2024
202411,단산면,현지인방문자(a),42444,소백산 생태탐방원,경상북도,영주시,2024
202412,단산면,외지인방문자(b),14164,소백산 생태탐방원,경상북도,영주시,2024
202412,단산면,전체방문자(a+b),50768,소백산 생태탐방원,경상북도,영주시,2024
202412,단산면,현지인방문자(a),36603,소백산 생태탐방원,경상북도,영주시,2024
202501,단산면,외지인방문자(b),18578,소백산 생태탐방원,경상북도,영주시,2024
202501,단산면,전체방문자(a+b),52542,소백산 생태탐방원,경상북도,영주시,2024
202501,단산면,현지인방문자(a),33964,소백산 생태탐방원,경상북도,영주시,2024
202502,단산면,외지인방문자(b),12604,소백산 생태탐방원,경상북도,영주시,2024
202502,단산면,전체방문자(a+b),46596,소백산 생태탐방원,경상북도,영주시,2024
202502,단산면,현지인방문자(a),33992,소백산 생태탐방원,경상북도,영주시,2024
202503,단산면,외지인방문자(b),17846,소백산 생태탐방원,경상북도,영주시,2024
202503,단산면,전체방문자(a+b),59010,소백산 생태탐방원,경상북도,영주시,2024
202503,단산면,현지인방문자(a),41164,소백산 생태탐방원,경상북도,영주시,2024
202404,단산면,외국인방문객,243,소백산 생태탐방원,경상북도,영주시,2024
202411,단산면,외국인방문객,91,소백산 생태탐방원,경상북도,영주시,2024
202407,단산면,외국인방문객,208,소백산 생태탐방원,경상북도,영주시,2024
202406,단산면,외국인방문객,126,소백산 생태탐방원,경상북도,영주시,2024
202405,단산면,외국인방문객,200,소백산 생태탐방원,경상북도,영주시,2024
202408,단산면,외국인방문객,190,소백산 생태탐방원,경상북도,영주시,2024
202410,단산면,외국인방문객,187,소백산 생태탐방원,경상북도,영주시,2024
202409,단산면,외국인방문객,142,소백산 생태탐방원,경상북도,영주시,2024
202412,단산면,외국인방문객,37,소백산 생태탐방원,경상북도,영주시,2024
202501,단산면,외국인방문객,13,소백산 생태탐방원,경상북도,영주시,2024
202502,단산면,외국인방문객,6,소백산 생태탐방원,경상북도,영주시,2024
202503,단산면,외국인방문객,143,소백산 생태탐방원,경상북도,영주시,2024
202304,단산면,외국인방문객,288,소백산 생태탐방원,경상북도,영주시,2024
202306,단산면,외국인방문객,209,소백산 생태탐방원,경상북도,영주시,2024
202305,단산면,외국인방문객,389,소백산 생태탐방원,경상북도,영주시,2024
202307,단산면,외국인방문객,73,소백산 생태탐방원,경상북도,영주시,2024
202308,단산면,외국인방문객,282,소백산 생태탐방원,경상북도,영주시,2024
202309,단산면,외국인방문객,137,소백산 생태탐방원,경상북도,영주시,2024
202310,단산면,외국인방문객,151,소백산 생태탐방원,경상북도,영주시,2024
202311,단산면,외국인방문객,95,소백산 생태탐방원,경상북도,영주시,2024
202401,단산면,외국인방문객,64,소백산 생태탐방원,경상북도,영주시,2024
202402,단산면,외국인방문객,52,소백산 생태탐방원,경상북도,영주시,2024
202403,단산면,외국인방문객,78,소백산 생태탐방원,경상북도,영주시,2024
202312,단산면,외국인방문객,173,소백산 생태탐방원,경상북도,영주시,2024
202304,단산면,외지인방문자(b),17941,소백산 생태탐방원,경상북도,영주시,2024
202304,단산면,전체방문자(a+b),60588,소백산 생태탐방원,경상북도,영주시,2024
202304,단산면,현지인방문자(a),42648,소백산 생태탐방원,경상북도,영주시,2024
202305,단산면,외지인방문자(b),20590,소백산 생태탐방원,경상북도,영주시,2024
202305,단산면,전체방문자(a+b),67830,소백산 생태탐방원,경상북도,영주시,2024
202305,단산면,현지인방문자(a),47240,소백산 생태탐방원,경상북도,영주시,2024
202306,단산면,외지인방문자(b),15925,소백산 생태탐방원,경상북도,영주시,2024
202306,단산면,전체방문자(a+b),55888,소백산 생태탐방원,경상북도,영주시,2024
202306,단산면,현지인방문자(a),39963,소백산 생태탐방원,경상북도,영주시,2024
202307,단산면,외지인방문자(b),18249,소백산 생태탐방원,경상북도,영주시,2024
202307,단산면,전체방문자(a+b),56329,소백산 생태탐방원,경상북도,영주시,2024
202307,단산면,현지인방문자(a),38080,소백산 생태탐방원,경상북도,영주시,2024
202308,단산면,외지인방문자(b),20394,소백산 생태탐방원,경상북도,영주시,2024
202308,단산면,전체방문자(a+b),61194,소백산 생태탐방원,경상북도,영주시,2024
202308,단산면,현지인방문자(a),40800,소백산 생태탐방원,경상북도,영주시,2024
202309,단산면,외지인방문자(b),30373,소백산 생태탐방원,경상북도,영주시,2024
202309,단산면,전체방문자(a+b),75422,소백산 생태탐방원,경상북도,영주시,2024
202309,단산면,현지인방문자(a),45048,소백산 생태탐방원,경상북도,영주시,2024
202310,단산면,외지인방문자(b),22659,소백산 생태탐방원,경상북도,영주시,2024
202310,단산면,전체방문자(a+b),69262,소백산 생태탐방원,경상북도,영주시,2024
202310,단산면,현지인방문자(a),46602,소백산 생태탐방원,경상북도,영주시,2024
202311,단산면,외지인방문자(b),18232,소백산 생태탐방원,경상북도,영주시,2024
202311,단산면,전체방문자(a+b),60686,소백산 생태탐방원,경상북도,영주시,2024
202311,단산면,현지인방문자(a),42455,소백산 생태탐방원,경상북도,영주시,2024
202312,단산면,외지인방문자(b),14574,소백산 생태탐방원,경상북도,영주시,2024
202312,단산면,전체방문자(a+b),50841,소백산 생태탐방원,경상북도,영주시,2024
202312,단산면,현지인방문자(a),36267,소백산 생태탐방원,경상북도,영주시,2024
202401,단산면,외지인방문자(b),11914,소백산 생태탐방원,경상북도,영주시,2024
202401,단산면,전체방문자(a+b),46512,소백산 생태탐방원,경상북도,영주시,2024
202401,단산면,현지인방문자(a),34598,소백산 생태탐방원,경상북도,영주시,2024
202402,단산면,외지인방문자(b),19404,소백산 생태탐방원,경상북도,영주시,2024
202402,단산면,전체방문자(a+b),57197,소백산 생태탐방원,경상북도,영주시,2024
202402,단산면,현지인방문자(a),37793,소백산 생태탐방원,경상북도,영주시,2024
202403,단산면,외지인방문자(b),14676,소백산 생태탐방원,경상북도,영주시,2024
202403,단산면,전체방문자(a+b),57064,소백산 생태탐방원,경상북도,영주시,2024
202403,단산면,현지인방문자(a),42388,소백산 생태탐방원,경상북도,영주시,2024
202304,지평면,외지인방문자(b),154154,미리내 힐빙클럽,경기도,양평군,2024
202304,지평면,전체방문자(a+b),312288,미리내 힐빙클럽,경기도,양평군,2024
202304,지평면,현지인방문자(a),158134,미리내 힐빙클럽,경기도,양평군,2024
202305,지평면,외지인방문자(b),150927,미리내 힐빙클럽,경기도,양평군,2024
202305,지평면,전체방문자(a+b),314727,미리내 힐빙클럽,경기도,양평군,2024
202305,지평면,현지인방문자(a),163800,미리내 힐빙클럽,경기도,양평군,2024
202306,지평면,외지인방문자(b),134813,미리내 힐빙클럽,경기도,양평군,2024
202306,지평면,전체방문자(a+b),298700,미리내 힐빙클럽,경기도,양평군,2024
202306,지평면,현지인방문자(a),163888,미리내 힐빙클럽,경기도,양평군,2024
202307,지평면,외지인방문자(b),136297,미리내 힐빙클럽,경기도,양평군,2024
202307,지평면,전체방문자(a+b),296720,미리내 힐빙클럽,경기도,양평군,2024
202307,지평면,현지인방문자(a),160422,미리내 힐빙클럽,경기도,양평군,2024
202308,지평면,외지인방문자(b),138215,미리내 힐빙클럽,경기도,양평군,2024
202308,지평면,전체방문자(a+b),287112,미리내 힐빙클럽,경기도,양평군,2024
202308,지평면,현지인방문자(a),148897,미리내 힐빙클럽,경기도,양평군,2024
202309,지평면,외지인방문자(b),154098,미리내 힐빙클럽,경기도,양평군,2024
202309,지평면,전체방문자(a+b),309670,미리내 힐빙클럽,경기도,양평군,2024
202309,지평면,현지인방문자(a),155572,미리내 힐빙클럽,경기도,양평군,2024
202310,지평면,외지인방문자(b),151627,미리내 힐빙클럽,경기도,양평군,2024
202310,지평면,전체방문자(a+b),317614,미리내 힐빙클럽,경기도,양평군,2024
202310,지평면,현지인방문자(a),165988,미리내 힐빙클럽,경기도,양평군,2024
202311,지평면,외지인방문자(b),122416,미리내 힐빙클럽,경기도,양평군,2024
202311,지평면,전체방문자(a+b),277585,미리내 힐빙클럽,경기도,양평군,2024
