D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT항공제외2,Q8a03,Q8a12,Q8_1a1,Q8_1a2,Q8_1a3,동행자유형,국가명,웰니스참여,웰니스만족,log_총액,year
4,8,2,,,3.0,,5.0,,,,1,2,455.0,3.0,,11,10.0,5.0,가족,미국,1,0,6.12029741895095,2023
10,13,2,,,,,5.0,,,,1,1,1130.85,,,4,6.0,1.0,가족,싱가포르,0,0,7.030724841325821,2023
10,7,2,,,,,,6.0,,,1,1,1598.27,,,2,4.0,,친구,싱가포르,0,0,7.376677073255386,2023
4,7,1,1.0,,,,,,,,1,1,300.0,,,1,2.0,,혼자,미국,0,0,5.703782474656201,2023
3,5,2,,,,,,,7.0,,1,1,2624.0,3.0,12.0,1,2.0,3.0,직장동료,대만,1,1,7.8724551500639794,2023
3,5,2,,2.0,,,,,,,1,1,902.0,3.0,12.0,12,3.0,4.0,가족,대만,1,1,6.804614520062624,2023
1,5,2,,,,,,6.0,,,1,1,552.52,3.0,,2,1.0,3.0,친구,중국,1,1,6.314489631831759,2023
3,6,2,,,,,,6.0,,,1,1,974.16,,,2,1.0,11.0,친구,대만,0,0,6.881575561198752,2023
4,21,2,,,,,5.0,6.0,,,1,1,7307.5,3.0,,4,3.0,6.0,가족,미국,1,1,8.8966564969854,2023
1,28,1,1.0,,,,,,,,1,2,1163.2,3.0,,3,2.0,1.0,혼자,중국,1,1,7.058930106779255,2023
2,3,2,,,,,,6.0,,,1,1,348.84,,,4,1.0,2.0,친구,일본,0,0,5.8546133643587845,2023
2,4,2,,,,,,,7.0,,1,1,585.2,,,11,10.0,2.0,직장동료,일본,0,0,6.371953669145969,2023
2,3,2,,,,,5.0,,,,1,1,600.4,,,5,1.0,2.0,가족,일본,0,0,6.397596099759307,2023
4,12,1,1.0,,,,,,,,1,2,930.0,3.0,,3,1.0,4.0,혼자,미국,1,1,6.835184586147301,2023
2,4,2,,,,4.0,,,,,2,1,712.12,,,1,4.0,2.0,가족,일본,0,0,6.568246436536662,2023
2,4,1,1.0,,,,,,,,1,1,2971.6,,,2,1.0,13.0,혼자,일본,0,0,7.996855807277651,2023
2,4,2,,,,4.0,,,,,2,1,782.8,,,2,1.0,,가족,일본,0,0,6.662877235521921,2023
2,3,2,,2.0,,,,,,,2,1,551.0,3.0,,2,1.0,3.0,가족,일본,1,1,6.311734809152915,2023
1,4,1,1.0,,,,,,,,1,2,1526.7,,,2,1.0,,혼자,중국,0,0,7.330863822262897,2023
4,9,2,,,3.0,,,,,,1,2,635.0,3.0,,4,3.0,2.0,가족,미국,1,1,6.453624998892692,2023
2,5,1,1.0,,,,,,,,1,2,691.6,,12.0,12,2.0,1.0,혼자,일본,1,1,6.539007753809136,2023
2,6,1,1.0,,,,,,,,1,1,532.0,,,2,1.0,,혼자,일본,0,0,6.2766434893416445,2023
2,4,1,1.0,,,,,,,,1,2,152.0,3.0,,1,2.0,3.0,혼자,일본,1,1,5.0238805208462765,2023
18,17,2,,,3.0,4.0,,,,,1,1,3381.17,,,1,2.0,4.0,가족,독일,0,0,8.125977082425798,2023
18,9,2,,,,,,6.0,,,1,1,1668.77,3.0,12.0,12,5.0,2.0,친구,독일,1,1,7.419842107095467,2023
18,18,1,1.0,,,,,,,,1,1,714.41,3.0,,3,10.0,4.0,혼자,독일,1,1,6.57145702722468,2023
2,3,2,,,,,5.0,,,,2,1,445.74,,12.0,1,2.0,12.0,가족,일본,1,1,6.09973582239177,2023
2,5,2,,,,,,6.0,,,2,1,1418.54,,,2,1.0,,친구,일본,0,0,7.257383452652879,2023
2,60,1,1.0,,,,,,,,1,2,532.0,3.0,12.0,1,12.0,2.0,혼자,일본,1,1,6.2766434893416445,2023
3,6,2,,,,,,6.0,,,2,1,1134.88,,,4,1.0,6.0,친구,대만,0,0,7.034282197453777,2023
18,15,2,,,,,5.0,6.0,,,1,1,2652.58,3.0,,3,8.0,4.0,가족,독일,1,1,7.883288030259529,2023
18,9,2,,,,,,6.0,,,1,2,590.07,3.0,,4,6.0,3.0,친구,독일,1,1,6.380241173929911,2023
2,3,2,,,,,,6.0,,,2,1,1064.0,,,1,2.0,,친구,일본,0,0,6.96979066990159,2023
3,4,2,,,,,,6.0,,,1,2,808.52,,,2,1.0,,친구,대만,0,0,6.695205415878797,2023
3,6,2,,,,,,6.0,,,1,1,936.44,,,8,1.0,2.0,친구,대만,0,0,6.842085451492117,2023
3,4,2,,,,,,6.0,,,1,2,1180.8,,,2,7.0,1.0,친구,대만,0,0,7.073947453846208,2023
2,9,1,1.0,,,,,,,,1,1,7364.4,,,13,1.0,2.0,혼자,일본,0,0,8.90441285918305,2023
2,3,2,,,,,,6.0,,,2,1,463.6,,,7,2.0,1.0,친구,일본,0,0,6.1390221114655965,2023
2,3,2,,,,,,6.0,,,1,2,1748.0,,,19,1.0,2.0,친구,일본,0,0,7.466227556215481,2023
2,4,2,,2.0,,,,,,,1,2,391.4,,,19,1.0,2.0,가족,일본,0,0,5.969730054961976,2023
2,3,2,,,,,,6.0,,,2,1,798.0,3.0,,11,15.0,7.0,친구,일본,1,0,6.682108597449809,2023
2,3,2,,,,,,6.0,,,2,1,953.8,3.0,,2,1.0,13.0,친구,일본,1,0,6.860454005864124,2023
12,12,2,,2.0,,,,,,,1,1,4225.0,3.0,12.0,1,10.0,12.0,가족,중동,1,1,8.348774539791274,2023
2,3,2,,,,,,6.0,,,1,1,503.12,,,7,2.0,1.0,친구,일본,0,0,6.2208287102352475,2023
2,3,1,1.0,,,,,,,,1,1,957.6,,,10,1.0,2.0,혼자,일본,0,0,6.864430154243763,2023
2,4,2,,,3.0,,5.0,,,,1,1,452.96,,,1,2.0,7.0,가족,일본,0,0,6.115803821363589,2023
2,6,2,,,,,,6.0,,,1,1,1238.8,,12.0,1,2.0,12.0,친구,일본,1,1,7.1218984480990475,2023
2,8,2,,2.0,,,,,,,1,1,1425.0,3.0,,2,1.0,13.0,가족,일본,1,0,7.261927092702751,2023
2,3,2,,,,,,6.0,,,1,1,1214.48,,12.0,2,1.0,12.0,친구,일본,1,1,7.10207128062446,2023
2,4,2,,,3.0,,,,,,1,1,615.6,,12.0,2,7.0,1.0,가족,일본,1,0,6.422597401964724,2023
2,3,2,,,,,,6.0,,,2,1,653.6,,,2,1.0,,친구,일본,0,0,6.482495543545793,2023
2,3,2,,,,,,6.0,,,2,1,877.8,3.0,,1,2.0,3.0,친구,일본,1,1,6.777418777254134,2023
2,7,1,1.0,,,,,,,,1,2,608.0,3.0,,1,2.0,3.0,혼자,일본,1,1,6.410174881966167,2023
10,5,2,,,,4.0,5.0,,,,1,2,1155.73,,,1,2.0,4.0,가족,싱가포르,0,0,7.05248745793816,2023
2,3,1,1.0,,,,,,,,2,2,980.4,,,2,1.0,19.0,혼자,일본,0,0,6.887960651653957,2023
2,4,2,,,3.0,4.0,,,,,3,1,1603.6,3.0,,4,1.0,2.0,가족,일본,1,0,7.380006380768352,2023
10,7,2,,,,,,6.0,,,1,1,1537.96,3.0,,4,2.0,3.0,친구,싱가포르,1,1,7.33821214192504,2023
10,5,2,,2.0,,,,,,8.0,3,1,3090.99,3.0,,2,3.0,4.0,가족,싱가포르,1,1,8.036246706927919,2023
2,3,1,1.0,,,,,,,,1,1,881.6,,,13,1.0,2.0,혼자,일본,0,0,6.78173843839865,2023
2,3,1,1.0,,,,,,,,2,1,1230.82,,,2,1.0,,혼자,일본,0,0,7.115435892909623,2023
10,8,2,,,,,,6.0,,,1,1,4659.1,3.0,,15,4.0,5.0,친구,싱가포르,1,0,8.446577575419893,2023
10,12,2,,,3.0,,,,,,1,1,1497.75,3.0,12.0,6,4.0,3.0,가족,싱가포르,1,1,7.3117192609640345,2023
2,3,2,,,,,,6.0,,,1,1,389.12,,,1,2.0,,친구,일본,0,0,5.963887779337748,2023
3,5,2,,2.0,3.0,,5.0,,,,1,1,682.24,3.0,,3,1.0,2.0,가족,대만,1,1,6.52538150209737,2023
3,5,2,,2.0,3.0,,5.0,,,,1,1,673.06,3.0,,2,1.0,4.0,가족,대만,1,0,6.511834478716893,2023
3,5,2,,,,,,6.0,,,1,1,1377.6,,,1,2.0,7.0,친구,대만,0,0,7.228098133673466,2023
3,5,2,,,3.0,,5.0,,,,1,1,553.5,,,1,2.0,5.0,가족,대만,0,0,6.316261752148692,2023
4,8,1,1.0,,,,,,,,1,1,1110.0,3.0,12.0,6,1.0,12.0,혼자,미국,1,1,7.01211529430638,2023
3,5,2,,,,,5.0,,,,1,1,817.81,3.0,,11,10.0,4.0,가족,대만,1,0,6.706630035784371,2023
3,5,2,,,3.0,,,,,,2,1,1070.1,,,4,7.0,1.0,가족,대만,0,0,6.975507381032956,2023
3,5,2,,,,,,,7.0,,1,1,1220.16,,,5,2.0,7.0,직장동료,대만,0,0,7.106737276669199,2023
4,8,1,1.0,,,,,,,,1,2,3300.0,3.0,12.0,1,4.0,11.0,혼자,미국,1,0,8.101677747454572,2023
4,7,2,,,,,,6.0,,,1,1,1450.0,,12.0,2,1.0,12.0,친구,미국,1,1,7.27931883541462,2023
4,7,2,,,,,,6.0,,,1,1,1300.0,,,2,1.0,,친구,미국,0,0,7.170119543449628,2023
3,5,2,,2.0,,,,,,,3,1,1336.6,3.0,,2,1.0,3.0,가족,대만,1,1,7.19788435507697,2023
4,3,1,1.0,,,,,,,,1,2,2000.0,,,1,4.0,2.0,혼자,미국,0,0,7.600902459542082,2023
4,7,2,,,,4.0,,,,,1,1,1435.0,,,2,1.0,6.0,가족,미국,0,0,7.268920128193722,2023
4,7,2,,,3.0,,5.0,,,,1,1,957.5,,,4,6.0,2.0,가족,미국,0,0,6.864325721054801,2023
4,9,2,,2.0,,,,,,,1,1,2140.0,3.0,,4,1.0,2.0,가족,미국,1,0,7.668561108015897,2023
10,11,2,,2.0,,4.0,,,,,1,1,1388.68,3.0,,3,2.0,4.0,가족,싱가포르,1,1,7.236108934642959,2023
2,6,1,1.0,,,,,,,,1,1,621.68,3.0,,2,1.0,3.0,혼자,일본,1,1,6.432425490900987,2023
2,4,1,1.0,,,,,,,,1,1,285.06,3.0,,2,4.0,1.0,혼자,일본,1,0,5.652699684426885,2023
7,4,2,,,,,,6.0,,,1,2,1024.53,,,10,4.0,5.0,친구,베트남,0,0,6.931989249827095,2023
6,15,2,,2.0,,,,,,,1,2,657.0,3.0,,3,1.0,6.0,가족,태국,1,1,6.48768401848461,2023
1,71,1,1.0,,,,,,,,1,2,4899.98,,,13,1.0,2.0,혼자,중국,0,0,8.496986402457734,2023
6,8,1,1.0,,,,,,,,1,2,876.0,3.0,,4,3.0,2.0,혼자,태국,1,1,6.775366090936392,2023
3,5,2,,,3.0,,5.0,,,,1,1,729.8,,,1,2.0,11.0,가족,대만,0,0,6.592770524002347,2023
4,6,1,1.0,,,,,,,,3,1,3250.0,3.0,,3,1.0,,혼자,미국,1,1,8.086410275323782,2023
3,7,2,,,,,,6.0,,,1,1,1197.2,,,2,1.0,7.0,친구,대만,0,0,7.087740775978544,2023
4,12,2,,,,,,,,8.0,3,1,3100.0,,,4,1.0,,기타,미국,0,0,8.039157390473237,2023
2,4,2,,,,4.0,,,,,1,1,399.0,,,2,1.0,,가족,일본,0,0,5.988961416889864,2023
3,6,2,,,,4.0,,,,,1,1,1262.8,,,1,2.0,7.0,가족,대만,0,0,7.141086756683837,2023
3,71,1,1.0,,,,,,,,1,1,2003.1,3.0,,2,1.0,3.0,혼자,대만,1,1,7.602451259531933,2023
2,3,2,,,,,,6.0,,,2,1,624.72,,,1,4.0,10.0,친구,일본,0,0,6.43730354935442,2023
12,61,2,,,,4.0,,,,,1,1,9549.51,3.0,,4,3.0,13.0,가족,중동,1,1,9.164245123257906,2023
1,11,1,1.0,,,,,,,,1,2,1046.88,,,11,2.0,1.0,혼자,중국,0,0,6.953569591121429,2023
6,9,1,1.0,,,,,,,,1,1,876.0,3.0,,2,3.0,7.0,혼자,태국,1,1,6.775366090936392,2023
1,78,1,1.0,,,,,,,,1,2,2515.42,,,10,5.0,4.0,혼자,중국,0,0,7.830195066603152,2023
6,21,1,1.0,,,,,,,,2,2,876.0,,,6,1.0,2.0,혼자,태국,0,0,6.775366090936392,2023
12,5,1,1.0,,,,,,,,1,1,331.72,3.0,,4,6.0,3.0,혼자,중동,1,1,5.804291239583003,2023
1,3,1,1.0,,,,,,,,1,2,596.14,,,19,1.0,2.0,혼자,중국,0,0,6.390475538809681,2023
2,7,1,1.0,,,,,,,,1,2,1175.72,,,5,1.0,4.0,혼자,일본,0,0,7.069636004871306,2023
6,6,1,1.0,,,,,,,,1,1,876.0,3.0,,3,1.0,2.0,혼자,태국,1,1,6.775366090936392,2023
6,23,1,1.0,,,,,,,,1,1,2920.0,3.0,,4,3.0,2.0,혼자,태국,1,1,7.979338895262328,2023
16,12,2,,,,,,,,8.0,3,1,5500.0,,,6,4.0,,기타,영국,0,0,8.612503371220562,2023
16,8,2,,2.0,,,,6.0,7.0,,3,1,4347.35,3.0,,9,6.0,4.0,가족,영국,1,0,8.377321743045517,2023
6,7,2,,,,,,6.0,,,2,1,876.0,3.0,,7,3.0,2.0,친구,태국,1,1,6.775366090936392,2023
6,5,2,,,3.0,,5.0,,,,1,1,1460.0,3.0,,1,11.0,3.0,가족,태국,1,1,7.286191714702382,2023
10,9,2,,2.0,,4.0,,,,,1,1,997.05,3.0,,11,3.0,4.0,가족,싱가포르,1,1,6.904800919155701,2023
10,7,2,,,,,,6.0,,,1,1,645.0,3.0,,7,1.0,2.0,친구,싱가포르,1,0,6.4692503167957724,2023
2,3,2,,,,,,6.0,,,1,1,190.0,,,2,1.0,,친구,일본,0,0,5.247024072160486,2023
3,6,2,,,,,,6.0,,,1,1,754.4,3.0,,2,1.0,5.0,친구,대만,1,0,6.625922731319248,2023
3,5,2,,2.0,,4.0,,,,,3,1,1262.8,,,4,2.0,1.0,가족,대만,0,0,7.141086756683837,2023
3,4,2,,,,,,6.0,,,1,1,754.4,,,1,2.0,,친구,대만,0,0,6.625922731319248,2023
10,9,2,,,3.0,4.0,,,7.0,,1,1,1385.71,3.0,,4,3.0,1.0,가족,싱가포르,1,1,7.2339679226478735,2023
1,4,1,1.0,,,,,,,,1,1,9549.51,,,1,,,혼자,중국,0,0,9.164245123257906,2023
1,5,1,1.0,,,,,,,,1,1,1875.66,,,1,2.0,,혼자,중국,0,0,7.536715876467046,2023
1,5,1,1.0,,,,,,,,1,1,3750.0,,12.0,7,1.0,2.0,혼자,중국,1,0,8.229511118964457,2023
6,8,1,1.0,,,,,,,,1,2,1314.0,3.0,,11,2.0,3.0,혼자,태국,1,1,7.1808311990445555,2023
1,5,2,,,,,,6.0,,,1,1,1468.54,3.0,,1,3.0,2.0,친구,중국,1,1,7.2920239889466325,2023
3,17,1,1.0,,,,,,,,1,2,3870.4,,,19,,,혼자,대만,0,0,8.261113139855762,2023
2,3,2,,,,,,6.0,,,2,1,592.8,3.0,,1,3.0,2.0,친구,일본,1,1,6.384857073981877,2023
3,21,1,1.0,,,,,,,,1,2,144.4,,,2,,,혼자,대만,0,0,4.972587226458726,2023
3,8,1,1.0,,,,,,,,1,1,1000.4,3.0,,3,2.0,1.0,혼자,대만,1,1,6.908155199003464,2023
3,18,1,1.0,,,,,,,,1,1,1508.8,3.0,,8,3.0,11.0,혼자,대만,1,1,7.319069911879193,2023
5,5,2,,,,,,6.0,,,1,1,544.64,3.0,12.0,12,2.0,3.0,친구,홍콩,1,1,6.300125025944954,2023
2,3,1,1.0,,,,,,,,1,1,793.44,3.0,,4,1.0,2.0,혼자,일본,1,0,6.676377922740824,2023
10,7,2,,2.0,,,,,,,1,1,1439.95,,,4,2.0,1.0,가족,싱가포르,0,0,7.272363669744994,2023
2,3,2,,,,,,6.0,,,1,1,661.2,3.0,,1,10.0,2.0,친구,일본,1,0,6.494056365946869,2023
5,6,2,,,,,5.0,,,,1,1,1541.54,3.0,,1,3.0,2.0,가족,홍콩,1,1,7.340537195740758,2023
5,5,2,,,,,,6.0,,,1,1,859.95,3.0,,2,1.0,3.0,친구,홍콩,1,1,6.756874248022502,2023
10,13,2,,2.0,,,,,,,1,2,2600.96,,,1,4.0,11.0,가족,싱가포르,0,0,7.863635886629899,2023
4,8,2,,,,,,6.0,,,1,1,1749.0,3.0,,3,1.0,,친구,미국,1,1,7.466799475018602,2023
5,10,2,,2.0,,,5.0,,,,1,1,965.0,3.0,,1,,,가족,홍콩,1,0,6.872128101338986,2023
4,5,2,,,,,,6.0,,,1,1,550.0,3.0,,1,3.0,6.0,친구,미국,1,1,6.309918278226516,2023
4,7,2,,,,4.0,,6.0,,,1,1,3583.33,3.0,,4,5.0,1.0,가족,미국,1,0,8.184047814654708,2023
4,6,2,,,3.0,,5.0,,,,1,1,1900.0,3.0,,5,1.0,6.0,가족,미국,1,0,7.549609165154532,2023
10,6,2,,,3.0,,,,,,2,1,2913.07,3.0,,4,2.0,1.0,가족,싱가포르,1,0,7.97696278688012,2023
5,12,2,,,,,,6.0,,,1,1,2582.4,3.0,,7,1.0,2.0,친구,홍콩,1,0,7.856474478075629,2023
5,3,2,,2.0,,,,,,,1,2,144.4,,,1,,,가족,홍콩,0,0,4.972587226458726,2023
5,5,2,,2.0,,,,,,,1,1,1452.36,3.0,,2,1.0,10.0,가족,홍콩,1,0,7.2809450985385125,2023
2,9,2,,,,,,6.0,,,1,1,747.33,3.0,,4,3.0,8.0,친구,일본,1,1,6.616506854650748,2023
4,6,2,,,3.0,,,,,,1,1,550.0,3.0,,4,6.0,3.0,가족,미국,1,1,6.309918278226516,2023
2,3,2,,,,,,6.0,,,2,1,813.2,,,2,1.0,,친구,일본,0,0,6.700977081754192,2023
2,4,2,,,,4.0,,,,,2,1,836.0,,12.0,1,4.0,2.0,가족,일본,1,0,6.728628613084702,2023
2,3,2,,2.0,,,,,,,2,1,415.47,,,2,1.0,4.0,가족,일본,0,0,6.029410409522736,2023
3,4,2,,2.0,,,,,,,1,2,1233.28,3.0,,1,3.0,2.0,가족,대만,1,1,7.117432565785947,2023
6,5,1,1.0,,,,,,,,1,2,957.76,,,10,2.0,1.0,혼자,태국,0,0,6.864597224664334,2023
3,4,2,,2.0,,,,6.0,,,3,1,915.12,3.0,12.0,3,2.0,12.0,가족,대만,1,1,6.819055204217418,2023
3,4,2,,,,,,6.0,,,3,1,787.2,3.0,12.0,4,3.0,1.0,친구,대만,1,1,6.6684823457380435,2023
3,4,2,,,,,,6.0,,,3,2,731.44,3.0,,4,5.0,6.0,친구,대만,1,0,6.595015193856171,2023
3,4,2,,,,,,6.0,,,3,1,774.08,3.0,,4,1.0,5.0,친구,대만,1,0,6.651675227421663,2023
3,4,2,,2.0,,,,6.0,,,3,1,797.04,3.0,,4,1.0,3.0,가족,대만,1,1,6.680904865736601,2023
3,4,2,,,,,,6.0,,,3,1,757.68,3.0,12.0,3,4.0,2.0,친구,대만,1,1,6.630261132917846,2023
7,12,1,1.0,,,,,,,,1,2,825.6,,12.0,11,2.0,12.0,혼자,베트남,1,1,6.716110394727298,2023
7,52,1,1.0,,,,,,,,1,2,756.8,,,2,11.0,1.0,혼자,베트남,0,0,6.629099017737668,2023
7,8,2,,,,,,6.0,,,1,2,649.3,,12.0,2,12.0,1.0,친구,베트남,1,1,6.475894859514441,2023
4,10,2,,2.0,,,,,,,1,1,550.0,3.0,,4,7.0,3.0,가족,미국,1,1,6.309918278226516,2023
7,33,1,1.0,,,,,,,,1,2,1139.5,3.0,,11,3.0,2.0,혼자,베트남,1,1,7.038344848685739,2023
1,6,2,,2.0,,,,,,,1,1,844.05,3.0,,6,4.0,3.0,가족,중국,1,1,6.738211734547398,2023
12,7,1,1.0,,,,,,,,1,2,2664.0,3.0,,4,3.0,2.0,혼자,중동,1,1,7.88758403166028,2023
3,6,1,1.0,,,,,,,,1,1,7954.0,3.0,,3,1.0,10.0,혼자,대만,1,1,8.981430225767635,2023
3,6,2,,2.0,,4.0,,,,,1,1,369.0,3.0,,1,3.0,2.0,가족,대만,1,1,5.910796644040527,2023
7,14,1,1.0,,,,,,,,1,1,397.32,3.0,,11,9.0,3.0,혼자,베트남,1,1,5.984742001347155,2023
3,5,2,,2.0,,4.0,,6.0,,,3,1,787.14,3.0,,3,4.0,2.0,가족,대만,1,1,6.6684061233209935,2023
3,5,2,,2.0,,,5.0,,,,3,1,656.0,3.0,,4,3.0,2.0,가족,대만,1,1,6.486160788944089,2023
7,47,1,1.0,,,,,,,,1,1,1720.0,,12.0,6,12.0,2.0,혼자,베트남,1,1,7.450079569807499,2023
5,5,2,,,,,,6.0,,,1,1,847.21,3.0,,3,2.0,1.0,친구,홍콩,1,1,6.741948597805826,2023
4,8,2,,2.0,,,,,,,1,1,860.0,3.0,,5,1.0,3.0,가족,미국,1,1,6.756932389247553,2023
2,3,2,,,,,,,7.0,,3,1,1444.0,3.0,12.0,1,2.0,12.0,직장동료,일본,1,1,7.275172319452771,2023
7,30,2,,,,,5.0,,,,1,2,328.95,,,9,2.0,4.0,가족,베트남,0,0,5.795905763532007,2023
2,3,1,1.0,,,,,,,,1,2,144.4,3.0,,3,1.0,,혼자,일본,1,1,4.972587226458726,2023
2,6,1,1.0,,,,,,,,1,2,836.0,,12.0,1,2.0,12.0,혼자,일본,1,1,6.728628613084702,2023
5,7,2,,,3.0,,,,,,1,1,541.45,,,1,4.0,2.0,가족,홍콩,0,0,6.294250726074389,2023
2,3,1,1.0,,,,,,,,1,2,357.2,3.0,,3,1.0,,혼자,일본,1,1,5.878295849002344,2023
2,3,2,,2.0,,,,,,,1,1,155.8,,12.0,12,10.0,,가족,일본,1,1,5.048573133436648,2023
2,4,2,,,,,,6.0,,,1,2,608.0,,,1,4.0,2.0,친구,일본,0,0,6.410174881966167,2023
2,4,1,1.0,,,,,,,,1,1,836.0,3.0,,1,3.0,2.0,혼자,일본,1,1,6.728628613084702,2023
6,4,2,,,3.0,,,,,,1,1,379.6,,,2,1.0,11.0,가족,태국,0,0,5.939118066735773,2023
2,4,2,,,,,,6.0,,,1,1,231.8,3.0,,3,1.0,2.0,친구,일본,1,1,5.445874930905651,2023
2,3,2,,,,,,6.0,,,1,2,239.4,3.0,,3,2.0,1.0,친구,일본,1,1,5.478135793123873,2023
2,5,2,,,,,5.0,,,,1,2,570.0,,12.0,13,12.0,2.0,가족,일본,1,1,6.345636360828596,2023
2,5,2,,2.0,,4.0,,6.0,,,1,1,551.0,3.0,,1,15.0,3.0,가족,일본,1,1,6.311734809152915,2023
2,3,2,,,3.0,,,,,,1,2,285.0,3.0,,3,2.0,1.0,가족,일본,1,1,5.652489180268651,2023
2,3,2,,,,,,6.0,,,1,2,159.6,3.0,,1,2.0,3.0,친구,일본,1,1,5.072670685015709,2023
10,7,1,1.0,,,,,,,,1,1,1108.23,3.0,12.0,3,2.0,12.0,혼자,싱가포르,1,1,7.010519426992664,2023
2,3,1,1.0,,,,,,,,1,2,228.0,3.0,,3,1.0,2.0,혼자,일본,1,1,5.429345628954441,2023
6,5,2,,2.0,,,5.0,6.0,,,3,1,629.71,3.0,,3,1.0,2.0,가족,태국,1,1,6.445259395946655,2023
6,6,2,,,,,,6.0,,,1,1,3489.4,,,6,2.0,1.0,친구,태국,0,0,8.1574850806458,2023
2,4,1,1.0,,,,,,,,1,1,963.6,,12.0,1,2.0,12.0,혼자,일본,1,1,6.8706762707407165,2023
3,5,2,,,3.0,,,,,,1,1,1067.08,,,2,1.0,,가족,대만,0,0,6.972681225060973,2023
2,3,2,,,,,,6.0,,,1,1,306.6,,,2,1.0,,친구,일본,0,0,5.725543966437714,2023
3,13,2,,,,,,6.0,,,1,1,539.5,,,6,7.0,8.0,친구,대만,0,0,6.290642784698189,2023
3,6,2,,,,,,6.0,,,1,1,1693.25,3.0,,1,2.0,3.0,친구,대만,1,1,7.434405038095013,2023
3,7,1,1.0,,,,,,,,1,1,2122.25,,,1,2.0,8.0,혼자,대만,0,0,7.660232125618077,2023
3,5,2,,,,,,6.0,,,1,1,601.25,,,6,2.0,1.0,친구,대만,0,0,6.399010821419971,2023
2,3,2,,,,,,6.0,,,2,1,992.8,,,2,1.0,,친구,일본,0,0,6.900529233890397,2023
2,3,2,,,,,,6.0,,,2,1,686.2,,,5,4.0,2.0,친구,일본,0,0,6.53116913042435,2023
2,3,2,,,,,,6.0,,,2,1,850.45,,12.0,12,1.0,2.0,친구,일본,1,1,6.745765621160101,2023
2,3,1,1.0,,,,,,,,2,1,1627.9,,12.0,1,7.0,12.0,혼자,일본,1,1,7.395046119614464,2023
2,2,1,1.0,,,,,,,,1,2,153.3,,,7,2.0,1.0,혼자,일본,0,0,5.0323967858777685,2023
2,4,2,,,,,,6.0,,,2,1,1408.9,,12.0,1,12.0,2.0,친구,일본,1,1,7.250564537059231,2023
2,3,2,,,,,,6.0,,,1,1,1138.8,,12.0,12,13.0,11.0,친구,일본,1,1,7.037730355403882,2023
2,12,2,,,3.0,,,,,,2,1,1376.05,,12.0,2,1.0,12.0,가족,일본,1,1,7.2269723550424105,2023
2,5,2,,,,,,6.0,,,2,1,2409.0,,12.0,2,1.0,12.0,친구,일본,1,1,7.786967002614872,2023
2,3,2,,,,,,6.0,,,1,1,715.4,3.0,,2,1.0,4.0,친구,일본,1,0,6.572841826824917,2023
2,3,2,,,,,,6.0,,,1,1,664.3,,,4,2.0,1.0,친구,일본,0,0,6.498733854671196,2023
2,5,2,,,3.0,,,,,,2,1,1221.05,,,2,1.0,,가족,일본,0,0,7.107466423313225,2023
2,2,1,1.0,,,,,,,,1,1,221.19,,,2,1.0,,혼자,일본,0,0,5.399022060669669,2023
2,4,2,,,,,,6.0,,,2,1,870.16,,,4,2.0,1.0,친구,일본,0,0,6.7686771027855945,2023
2,4,2,,2.0,,,,,,,1,1,956.3,,,1,2.0,4.0,가족,일본,0,0,6.863071671355497,2023
2,4,2,,,3.0,,,6.0,,,2,1,919.8,3.0,,2,1.0,3.0,가족,일본,1,1,6.824156255105823,2023
2,4,2,,,,,,6.0,,,1,1,759.2,,,2,1.0,,친구,일본,0,0,6.632265247295718,2023
2,3,2,,,,,,6.0,,,2,1,1295.75,,,1,2.0,10.0,친구,일본,0,0,7.166844957069816,2023
2,3,2,,,3.0,,,,,,2,1,558.45,,,7,2.0,1.0,가족,일본,0,0,6.325165088986836,2023
3,7,2,,,3.0,,,,,,1,2,657.58,,,19,1.0,2.0,가족,대만,0,0,6.4885664296541625,2023
2,3,2,,,,,,6.0,,,1,1,423.4,,,2,1.0,,친구,일본,0,0,6.048317358700765,2023
2,2,1,1.0,,,,,,,,2,1,537.28,,,8,1.0,7.0,혼자,일본,0,0,6.286519373889176,2023
2,3,2,,,,,,6.0,,,1,1,521.95,,,1,2.0,,친구,일본,0,0,6.2575717978543075,2023
2,4,2,,,3.0,,5.0,,,,2,1,2480.18,,12.0,12,1.0,11.0,가족,일본,1,1,7.816086417170341,2023
2,3,2,,,,,,6.0,,,1,1,1338.82,,,10,1.0,2.0,친구,일본,0,0,7.19954390797671,2023
1,9,1,1.0,,,,,,,,1,1,2141.37,,,2,13.0,1.0,혼자,중국,0,0,7.669201090099557,2023
1,6,2,,,,,,6.0,,,3,1,2509.08,3.0,,7,3.0,,친구,중국,1,1,7.827671431071332,2023
6,8,1,1.0,,,,,,,,1,1,882.0,3.0,,2,3.0,1.0,혼자,태국,1,1,6.782192056006791,2023
10,5,2,,,,,,6.0,,,3,1,1595.37,3.0,,4,3.0,1.0,친구,싱가포르,1,1,7.374860963238553,2023
12,6,2,,,,,5.0,,,,3,1,4140.0,,,2,6.0,4.0,가족,중동,0,0,8.32845106681936,2023
