D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT항공제외2,C문화서1인대체,C오락및1인대체,C미용서1인대체,weight,동행자유형,국가명,여가체험비율,log_총액,year
5,4,2,,,,,,6.0,,,3,1,1100.0,1,1,1,443.2442495,친구,홍콩,0.0027272727272727275,7.003065458786462,2023
5,10,2,,,,,5.0,,,,3,1,2816.81,1,1,1,448.5235056,가족,홍콩,0.001065034560371484,7.9433603179623455,2023
5,5,2,,,,,,6.0,,,1,1,2000.0,1,4,1,323.2828507,친구,홍콩,0.003,7.600902459542082,2023
5,4,2,,,,,,,7.0,,3,1,4852.6,1,1,1,605.6671873,직장동료,홍콩,0.000618225281292503,8.48726992276488,2023
3,5,2,,,,,,,,8.0,3,1,1304.0,1,1,1,708.1535647,기타,대만,0.0023006134969325155,7.1731917424865985,2023
5,4,2,,,3.0,,5.0,,,,3,1,2419.92,1,1,1,354.5826266,가족,홍콩,0.0012397104036497074,7.79148976075307,2023
5,5,2,,,,,,,7.0,,3,1,1858.04,1,1,1,448.5235056,직장동료,홍콩,0.0016146046371445179,7.527277447667345,2023
3,6,2,,,,,5.0,,,,3,1,922.58,1,1,1,1082.880319,가족,대만,0.003251750525699668,6.827174093021854,2023
3,4,2,,2.0,,4.0,,,,,3,1,2014.68,1,1,1,673.7355008,가족,대만,0.0014890702245517898,7.608215652836307,2023
10,5,2,,2.0,,4.0,,,,,1,1,406.29,1,1,1,305.2092888,가족,싱가포르,0.007383888355608063,6.007067190335389,2023
5,5,2,,,3.0,,,,,,1,1,1958.6,1,1,1,352.6533451,가족,홍콩,0.0015317063208414173,7.579985211286694,2023
10,8,2,,2.0,,4.0,,,,,1,1,1026.85,3,1,1,302.2720467,가족,싱가포르,0.004869260359351415,6.934251142786102,2023
1,4,2,,,,,,6.0,,,1,1,3137.61,1,1,1,1564.482728,친구,중국,0.0009561417767026494,8.051216642586416,2023
3,5,2,,2.0,,,,,,,3,1,1085.58,1,1,1,558.0095906,가족,대만,0.002763499696015034,6.98986968535906,2023
5,5,2,,,,,5.0,,,,1,1,2809.4,1,1,1,605.6671873,가족,홍콩,0.0010678436676870506,7.9407262163968095,2023
2,4,2,,2.0,,,,,,,1,1,1315.8,1,1,1,1507.702915,가족,일본,0.002279981760145919,7.182200124651898,2023
2,4,1,1.0,,,,,,,,1,2,936.0,1,1,4,1623.129657,혼자,일본,0.00641025641025641,6.841615476477592,2023
2,2,1,1.0,,,,,,,,1,1,144.4,1,1,1,1093.435628,혼자,일본,0.02077562326869806,4.972587226458726,2023
10,10,2,,2.0,,4.0,,,,,1,1,1630.59,1,1,1,305.2092888,가족,싱가포르,0.0018398248486744062,7.39669719149812,2023
10,8,2,,,,4.0,,,,,1,1,3627.37,1,3,1,464.7780718,가족,싱가포르,0.0013784091504313043,8.19626314676262,2023
10,9,2,,2.0,3.0,4.0,,,,,1,1,593.84,1,1,1,302.2720467,가족,싱가포르,0.0050518658224437555,6.386609922809291,2023
6,3,2,,,3.0,,5.0,,,,1,1,419.05,2,1,1,266.9496516,가족,태국,0.00954540031022551,6.037990244544916,2023
5,3,2,,2.0,,4.0,,,,,1,1,510.8,1,1,1,371.8920806,가족,홍콩,0.005873140172278778,6.235978124158384,2023
6,56,2,,2.0,,,,,,,1,2,867.0,1,1,1,266.9496516,가족,태국,0.0034602076124567475,6.7650389767805414,2023
5,4,2,,,,,,6.0,,,1,1,1194.0,1,1,1,448.5235056,친구,홍콩,0.002512562814070352,7.085064293952548,2023
6,9,1,1.0,,,,,,,,1,2,867.0,1,1,1,338.9597385,혼자,태국,0.0034602076124567475,6.7650389767805414,2023
6,4,1,1.0,,,,,,,,1,2,867.0,1,1,1,257.561364,혼자,태국,0.0034602076124567475,6.7650389767805414,2023
6,7,2,,,,,5.0,,,,1,1,1011.5,1,1,1,257.561364,가족,태국,0.002965892239248641,6.9191896566078,2023
6,11,2,,,,4.0,,,,,1,2,578.0,1,1,1,288.3540415,가족,태국,0.005190311418685121,6.359573868672378,2023
16,8,1,1.0,,,,,,,,1,1,2379.75,1,1,1,121.0292217,혼자,영국,0.0012606366214938543,7.774750719131415,2023
16,33,1,1.0,,,,,,,,1,2,1477.95,2,1,1,195.6258229,혼자,영국,0.002706451503772117,7.298411271436593,2023
18,6,1,1.0,,,,,,,,1,1,1345.0,1,1,1,229.2066383,혼자,독일,0.0022304832713754648,7.20414929203594,2023
4,10,1,1.0,,,,,,,,1,2,1125.0,1,1,1,1036.666392,혼자,미국,0.0026666666666666666,7.025538314638521,2023
6,5,2,,,,4.0,,,,,1,1,650.25,1,1,1,288.3540415,가족,태국,0.00461361014994233,6.477356904328761,2023
16,30,1,1.0,,,,,,,,1,1,2384.76,1,1,1,69.16589064,혼자,영국,0.0012579882252302117,7.776853769328193,2023
6,6,1,1.0,,,,,,,,1,2,1445.0,1,1,1,338.9597385,혼자,태국,0.0020761245674740486,7.275864600546533,2023
16,17,1,1.0,,,,,,,,1,1,1678.35,4,3,1,148.027009,혼자,영국,0.004766586230524027,7.42556644692184,2023
6,4,1,1.0,,,,,,,,1,1,578.0,1,1,1,338.9597385,혼자,태국,0.005190311418685121,6.359573868672378,2023
1,5,2,,,,,,6.0,,,1,1,346.83,2,1,1,815.4390642,친구,중국,0.011533027708099068,5.84883474635534,2023
6,9,1,1.0,,,,,,,,1,1,1618.4,1,1,1,266.9496516,혼자,태국,0.0018536826495304003,7.389193285853536,2023
18,5,2,,,,,5.0,,,,1,1,667.12,2,1,1,128.3380274,가족,독일,0.00599592277251469,6.50296993977873,2023
1,4,2,,,,,,6.0,,,1,1,520.59,1,1,1,1160.470675,친구,중국,0.005762692329856508,6.254962783770522,2023
10,11,2,,,,,,6.0,,,1,1,2694.55,4,3,1,356.8696634,친구,싱가포르,0.002968955855337626,7.8989864935198115,2023
6,5,2,,2.0,,,,,,,1,1,867.0,1,1,1,209.3653084,가족,태국,0.0034602076124567475,6.7650389767805414,2023
10,7,2,,2.0,,,,,,,3,1,2876.41,1,1,1,305.2092888,가족,싱가포르,0.0010429667536964481,7.964298267790228,2023
6,8,2,,,,,5.0,,,,1,1,491.3,1,1,1,345.7378172,가족,태국,0.006106248727864848,6.197054939174603,2023
1,11,1,1.0,,,,,,,,1,1,3334.59,1,4,1,1160.470675,혼자,중국,0.0017993216557357875,8.112105012261429,2023
3,5,2,,,,,,,7.0,,3,1,766.1,1,1,1,558.0095906,직장동료,대만,0.003915937867119175,6.641312709522775,2023
6,7,1,1.0,,,,,,,,1,1,1040.4,1,1,1,309.0726521,혼자,태국,0.002883506343713956,6.947360533574496,2023
1,6,2,,,,,,6.0,,,1,1,824.5,1,1,4,1160.470675,친구,중국,0.0072771376591873865,6.714777141999654,2023
